H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000003	0.44	0.8	0.39	0.41	0.48	1	1.09	3.56	2.85	1.41	0.92	0.22
ENSG00000000005	0.29	0.21	0.27	0.26	0.29	0.41	0.3	0.34	0.39	1.24	0.33	0.25
ENSG00000000419	8.69	8.02	6.07	6.69	6.44	6.49	8.1	6.97	5.86	5.95	8.49	11.38
ENSG00000000457	2.01	0.54	2.25	1.18	3.26	3.01	3.11	4.04	2.32	1.31	3.79	4.91
ENSG00000000460	0.24	2.82	0.2	0.22	0.24	2.19	0.25	0.2	2.32	0.9	0.35	0.4
ENSG00000000938	0.31	2.5	1.68	2.06	0.3	0.24	0.14	0.21	0.3	3.64	3.51	1.29
ENSG00000000971	0.2	0.21	0.18	0.17	0.21	0.27	0.25	0.21	0.2	0.2	0.49	0.98
ENSG00000001036	0.26	0.29	0.25	0.28	0.21	0.26	0.23	0.35	0.23	0.25	0.47	0.44
ENSG00000001084	4.31	4.84	6.85	5.53	5.05	5.29	4.32	4.73	2.23	4.44	11.32	10.23
ENSG00000001167	12.17	16.37	13.93	11.11	10.28	6.55	10.06	5.72	6.61	4.28	6.12	6.18
ENSG00000001460	0.41	0.46	0.33	0.31	0.26	0.24	0.22	0.21	0.24	0.23	0.18	0.21
ENSG00000001461	2.53	2.81	1.43	0.48	0.42	0.41	0.35	2.28	0.36	0.29	0.37	0.54
ENSG00000001497	4.75	5.25	5.94	7.11	6.21	4.11	3.84	3.9	3.6	1.63	0.33	0.36
ENSG00000001561	0.14	0.15	0.14	0.17	0.17	0.17	0.18	0.1	0.17	0.12	0.28	0.36
ENSG00000001617	3.16	4.17	4.59	4.2	3.8	3.39	2.61	4.41	2.96	2.24	0.29	0.32
ENSG00000001626	0.22	0.24	0.19	0.2	0.23	0.24	0.22	0.2	0.19	0.15	0.31	0.7
ENSG00000001629	4.2	3.96	4.25	3.99	3.8	3.23	3.48	3	2.6	2.8	4.13	6.78
ENSG00000001630	1.36	5.13	2.58	2.85	0.5	0.65	3.14	0.35	0.36	0.34	3.93	1.26
ENSG00000001631	0.46	0.52	0.35	1.76	0.52	0.61	0.83	0.36	0.32	0.29	3.58	1.84
ENSG00000002016	1.76	0.26	0.3	0.39	3.72	2.99	2.9	6.52	5.63	5.2	4.45	3.97
ENSG00000002330	0.44	0.33	0.45	0.56	0.88	0.48	0.46	2.29	1.84	0.37	0.35	0.48
ENSG00000002549	2.84	6.47	3.5	3.07	2.61	3.08	2.68	3.48	4.7	5.39	6.22	5.64
ENSG00000002586	7.33	4.87	5.45	4.71	5.17	5.47	6.03	6.62	6.04	13.14	11.19	12.85
ENSG00000002587	0.21	0.27	0.25	0.28	0.26	0.19	0.22	0.24	0.28	3.41	5.32	5.94
ENSG00000002726	0.23	0.24	0.27	0.27	0.29	0.28	0.23	0.27	0.29	0.25	0.18	0.15
ENSG00000002745	13.53	11.92	7.87	5.16	6.57	5.56	4.68	2.94	3.81	4.06	0.97	0.83
ENSG00000002746	2.44	0.27	1.56	0.31	0.24	0.23	0.23	2.17	0.21	3.93	4.38	0.25
ENSG00000002822	21.9	21.38	22.6	17.32	16.1	20.48	19.52	22.04	20.58	16.61	13.73	16.43
ENSG00000002834	5.72	4.95	6.58	6.5	8.88	10.17	10.4	20.72	16.57	20.98	25.34	23.77
ENSG00000002919	1.87	4.21	3.07	2.04	2.95	2.75	3.02	0.51	2.31	3.51	7.77	5.97
ENSG00000002933	0.22	0.14	0.2	0.22	0.23	0.24	0.17	0.27	0.17	0.2	0.08	0.07
ENSG00000003056	4.63	4.69	5.61	5.68	6.61	7.03	9.79	5.62	8.9	8.97	17.65	16.73
ENSG00000003096	0.17	0.19	0.15	0.16	0.16	0.21	0.19	0.16	0.16	0.14	0.26	0.4
ENSG00000003137	6.16	6.97	4.21	3.97	3.47	4.6	4.28	5.31	6.79	7.29	0.68	0.51
ENSG00000003147	0.17	0.16	0.16	0.15	0.16	0.17	0.18	0.21	0.21	0.21	0.38	0.33
ENSG00000003249	8.61	8.63	11.02	6.93	6.28	7.5	6.19	10.51	5.61	4.74	0.95	0.91
ENSG00000003393	1.68	0.39	2.2	3.62	3.16	3.72	2.97	3.45	0.27	2.7	5	5.14
ENSG00000003400	0.23	0.21	0.18	0.19	0.16	0.18	0.22	0.15	0.19	1.23	2.79	1.26
ENSG00000003402	4.3	4.07	2.91	2.84	2.86	2.91	2.4	0.32	1.33	2.28	7.09	10.54
ENSG00000003436	0.16	0.18	0.14	0.15	0.17	0.17	0.19	0.13	0.14	0.11	0.21	0.24
ENSG00000003509	1.79	0.54	2.27	2.78	2.03	1.68	2.63	0.43	0.42	0.33	2.9	2.36
ENSG00000003756	5.81	7.21	6.33	6.12	6.76	6.74	8.41	6.31	8.31	10.22	11.89	10.45
ENSG00000003987	0.22	0.2	0.21	0.19	0.18	0.19	0.21	0.16	0.18	0.17	0.31	0.27
ENSG00000003989	3.8	2.25	4.84	2.99	3.74	3.65	3.64	0.22	0.2	0.19	0.32	0.37
ENSG00000004059	5.56	2.93	3.3	3.5	2.03	2.02	3.49	3.72	2.22	3.27	6.39	4.59
ENSG00000004139	6.24	6.75	5.33	6.12	5.34	5.74	5.11	4.7	5.51	3.83	3.97	5.12
ENSG00000004142	1.59	0.9	1.54	2.01	2.64	3.47	2.53	2.6	3.34	3.01	2.96	1.12
ENSG00000004399	16.98	11.28	13.52	13.3	16.71	10.49	14.35	14.49	13.66	13.63	15.55	19.04
ENSG00000004455	9.13	6.22	6.82	8.05	7.4	5.82	6.12	4.29	5.2	4.96	5.39	5.79
ENSG00000004468	3.25	3.35	3.07	0.38	0.24	0.26	0.24	0.16	0.15	2.07	0.35	0.23
ENSG00000004478	5.96	9.1	10.2	8.95	8.52	8.18	6.3	5.9	7.63	4.88	6.31	4.8
ENSG00000004487	16.01	10.81	10.5	12.11	9.05	10.51	10	7.17	5.29	6.18	5.17	8.13
ENSG00000004534	9.5	9.19	10.81	12.65	13.08	10.38	9.1	9.19	9.73	10.11	12.94	11.38
ENSG00000004660	4.82	4.81	3.65	4.34	2.34	3.44	2.87	0.39	3.52	2.03	0.61	1.04
ENSG00000004700	1.31	0.65	0.37	0.49	1.07	4.11	3.66	0.54	0.49	2.72	5.34	2.27
ENSG00000004766	2.53	2.63	1.51	3.71	2.78	2.56	4.99	3.7	2.22	4.6	8.51	7.58
ENSG00000004776	0.12	0.13	0.13	0.25	0.12	0.13	0.17	0.18	0.27	0.51	0.3	0.38
ENSG00000004777	3.05	0.86	2.81	1.62	0.89	0.63	0.54	0.86	2.73	1.43	0.21	0.24
ENSG00000004779	10.37	7.88	12.49	15.48	15.55	12.88	13.37	9.09	10.49	8.5	6.86	6.7
ENSG00000004799	0.21	0.17	0.21	0.18	0.15	0.28	0.35	0.19	0.15	0.16	0.46	0.44
ENSG00000004809	2.66	0.25	0.25	0.23	0.18	0.2	0.29	0.17	0.16	0.17	0.39	0.51
ENSG00000004838	0.27	0.29	0.38	0.37	0.32	0.14	0.13	0.22	0.29	0.28	0.16	0.58
ENSG00000004846	2.79	3.65	0.18	0.22	0.22	0.24	0.23	2.69	0.21	1.76	0.27	0.89
ENSG00000004848	8.06	7.2	8.42	6.39	5.88	5.25	6.73	8.84	7.69	5.62	1.64	0.56
ENSG00000004864	2.98	3.28	3.86	3.83	4.12	3.87	5.65	7.71	5	6.44	8.47	9.24
ENSG00000004866	2.91	3.77	3.33	3.84	3.53	4.3	3.53	4.82	2.45	3.23	4.53	4.21
ENSG00000004897	6.68	5.12	4.63	6.52	6	7.08	6.47	7.53	7.12	7.9	9.88	9.45
ENSG00000004939	0.3	0.31	0.27	0.31	0.28	0.26	0.29	0.39	0.89	0.42	0.17	0.14
ENSG00000004948	0.22	0.26	0.17	0.18	0.22	0.25	0.24	0.2	0.19	0.15	0.32	1.2
ENSG00000004961	3.81	3.89	3.2	4.16	3.87	3.43	3.85	5.61	4.84	2.54	3.41	4.52
ENSG00000004975	2.35	4.12	3.15	2.71	3.04	3.78	6.19	2.94	3.42	2.36	3.83	4.38
ENSG00000005001	0.4	0.43	0.58	0.49	0.68	0.42	0.41	3.68	1.49	1.77	0.14	0.12
ENSG00000005007	47.93	44.28	51.77	54.15	46.75	42.35	41.5	41.14	42.69	34.44	26.94	30.42
ENSG00000005020	0.16	0.16	0.15	0.14	0.15	0.17	0.18	0.16	0.14	0.14	0.24	0.34
ENSG00000005022	6.71	15	14.28	10.57	12.05	10.72	11.12	5.75	13.49	12.19	6.29	6.53
ENSG00000005059	3.53	4.18	0.26	0.25	0.29	0.37	0.45	2.07	1.7	3.96	6.74	8.05
ENSG00000005073	9.81	7.77	7.24	6.09	6.88	5.87	7.17	6.04	6.16	4.49	1.27	1.04
ENSG00000005075	2.45	3.22	5.57	4.86	3.78	6.4	6.75	4.65	7.43	6.97	5.54	1.22
ENSG00000005100	8.24	20.02	10.56	11.89	17.24	11.05	10.56	7.9	8.5	5.48	1.57	0.7
ENSG00000005102	0.25	0.36	0.34	0.3	0.3	0.4	0.37	0.4	0.45	0.35	0.17	0.16
ENSG00000005108	0.17	0.19	0.16	0.17	0.17	0.22	0.2	0.16	0.15	0.11	0.25	0.43
ENSG00000005156	1.24	0.62	1.87	0.58	3.28	0.75	0.96	4.02	2.53	0.44	0.54	0.39
ENSG00000005175	4.42	4.03	4.41	4.83	5.23	3.98	3.34	0.34	1.78	1.2	2.89	1.66
ENSG00000005187	8.42	13.54	10.64	12.59	11.9	10.68	11.23	4.57	6.64	6.05	6.69	5.15
ENSG00000005189	0.19	0.18	0.16	0.18	0.17	0.2	0.18	0.19	0.15	0.21	0.25	0.28
ENSG00000005194	1.33	0.65	0.62	2.37	1.24	1.96	1.34	0.94	2.87	2.75	2.21	1.47
ENSG00000005206	9.81	8.48	7	7.1	9.43	11.33	10.19	10.84	10.04	10.26	8.08	7.35
ENSG00000005238	10.24	6.48	3.38	2.65	1.06	2.77	3.36	2.76	4.06	6.84	9.24	12.82
ENSG00000005243	4.03	2.89	2.96	2.62	4.53	2.17	1.44	3.27	3.46	1.71	0.32	0.3
ENSG00000005249	0.23	2.91	0.29	1.58	0.27	0.28	0.34	0.25	0.23	0.18	0.26	0.35
ENSG00000005302	2.5	3.7	3.65	4.13	3.73	3.22	5	5.71	4.04	3.8	3.25	1.55
ENSG00000005339	29.2	25.79	29.67	27.66	26.93	25.52	24.79	24.77	24.24	25.41	21.49	23.35
ENSG00000005379	4.19	5.59	4.65	4.76	3.76	3.81	4.47	5.46	6.39	14.3	7.17	4.18
ENSG00000005381	0.15	0.14	0.23	0.2	0.16	0.09	0.12	0.18	0.21	0.26	0.1	0.14
