H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.17	0.2	0.15	0.11	0.12	0.13	0.13	0.2	0.12	0.2	0.12	0.12
ENSG00000000419	3.23	0.66	0.5	0.66	0.57	0.59	0.69	0.49	0.48	0.88	0.62	3.23
ENSG00000000457	0.3	0.24	0.26	0.26	0.26	0.15	0.29	0.37	0.26	0.27	0.23	0.25
ENSG00000000460	0.11	0.12	0.12	0.09	0.15	0.1	0.23	0.13	0.11	0.16	0.16	0.09
ENSG00000000938	3.44	0.57	0.47	0.5	0.48	3.12	2.72	2.98	4.11	3.12	2.13	0.66
ENSG00000000971	0.09	0.12	0.08	0.09	0.1	0.08	0.17	0.06	0.08	0.07	0.06	0.18
ENSG00000001036	0.35	0.28	0.35	0.22	0.19	0.13	0.25	0.33	0.19	0.48	0.42	0.59
ENSG00000001084	0.18	0.19	0.16	0.12	0.09	0.24	0.19	0.15	0.14	0.19	0.15	0.14
ENSG00000001167	4.91	3.85	4.48	3.96	2.76	3.14	3.59	2.93	3.28	2.85	2.29	2.07
ENSG00000001461	0.84	7.17	9.24	5.05	6.03	4.14	4.5	9.06	6.66	9.96	10.96	6.82
ENSG00000001497	0.15	0.14	0.15	0.15	0.2	0.3	0.18	0.1	0.25	0.24	0.18	0.11
ENSG00000001617	1.13	0.64	0.77	0.56	0.85	0.35	0.65	0.47	0.73	0.38	0.34	0.45
ENSG00000001629	0.71	0.85	0.37	0.39	0.47	0.64	0.48	0.49	0.48	0.71	2.32	6.82
ENSG00000001630	0.14	0.21	0.2	0.18	0.29	0.24	0.08	0.21	0.17	0.25	0.21	0.26
ENSG00000001631	3.21	2.92	2.9	2.39	3.52	2.81	2.48	2.66	1.55	2.85	3.9	8.87
ENSG00000002016	7.64	16.9	11.99	13.35	7.73	5.54	8.45	8.13	10.28	7.82	11.38	7.77
ENSG00000002330	1.52	3.08	2.04	1.47	1.34	0.44	0.81	0.92	0.69	0.47	0.84	0.97
ENSG00000002549	0.44	0.22	0.35	0.38	0.37	0.37	0.21	0.31	0.34	0.33	0.51	0.37
ENSG00000002586	0.27	0.36	0.43	0.31	0.41	0.22	0.31	0.24	0.19	0.21	0.21	0.27
ENSG00000002745	44.04	16.05	9.96	10.61	6.07	7.98	6.34	6.23	2.42	0.91	0.36	0.16
ENSG00000002822	3.01	4.7	6.17	6.44	4.62	5.57	8.03	5.49	6.7	9.77	9.86	9.8
ENSG00000002834	2.69	2.31	3.11	1.45	2.06	1.98	3.28	1.2	1.4	2.43	0.35	1.72
ENSG00000002919	57.33	38.72	43.4	54.94	58.98	34.2	39.73	34.26	36.47	22.65	17.65	25.08
ENSG00000003056	0.13	0.12	0.18	0.15	0.18	0.33	0.15	0.2	0.29	0.23	0.3	0.35
ENSG00000003147	0.19	0.17	0.14	0.1	0.13	0.15	0.14	0.15	0.18	0.16	0.12	0.21
ENSG00000003393	0.25	0.19	0.16	0.17	0.24	0.17	0.18	0.16	0.2	0.22	0.3	0.23
ENSG00000003400	0.24	0.25	0.27	0.27	0.29	0.74	0.3	0.24	0.28	0.31	0.22	0.21
ENSG00000003402	0.29	0.24	0.41	0.36	0.39	0.76	0.24	0.24	0.41	0.35	0.51	0.56
ENSG00000003509	1.95	0.43	1.64	1	2.41	0.35	1.78	2.1	1.22	2.5	2.27	9.82
ENSG00000003756	0.06	0.1	0.14	0.15	0.15	0.21	0.15	0.24	0.15	0.07	0.15	0.1
