H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	6.14	6.11	6.18	6.29	6.29	6.15	6.22	6.17	6.42	6.24	5.74	5.51
ENSG00000000457	2.37	2.21	2.59	2.63	2.59	2.38	2.45	2.49	2.64	2.74	2.69	2.85
ENSG00000000460	3.91	3.47	3.72	4.05	3.94	3.95	3.95	3.99	3.87	2.84	2.29	2.48
ENSG00000000938	0.66	0.51	0.38	0.31	0.4	0.84	1.34	4.1	5.29	5.93	5.99	5.26
ENSG00000000971	0.44	0.45	0.72	0.91	1.4	1.96	2.54	2.77	3.15	3.87	3.57	3.38
ENSG00000001036	1.43	1.34	1.01	0.92	0.99	0.89	0.95	0.88	1.43	2.8	3.09	3.2
ENSG00000001084	4.58	5.19	5.12	5.1	4.41	4.47	4.26	4.06	4.23	4.89	5.77	5.48
ENSG00000001167	6	6.59	6.45	6.08	5.62	5.58	5.69	5.57	5.29	4.89	4.5	4.51
ENSG00000001461	2.7	2.2	1.76	2.01	2.04	2.12	2.15	1.99	1.48	1.68	2.62	3.02
ENSG00000001497	5.91	6.02	6.04	6.01	6.01	6	5.88	5.72	5.64	4.83	4.15	4.09
ENSG00000001617	3.16	2.74	2.48	2.4	2.49	2.38	2.07	1.62	0.96	0.5	0.29	0.3
ENSG00000001629	4.15	4.17	4.32	4.21	3.7	3.71	3.89	3.98	4	4.22	4.55	4.48
ENSG00000001630	4.6	5.43	5	4.67	4.39	4.64	4.99	4.71	5.18	4.71	4.2	3.95
ENSG00000001631	4.75	4.42	4.57	4.84	4.59	4.81	4.8	4.82	4.82	4.72	4.68	4.79
ENSG00000002016	3.9	2.88	3.29	3.6	3.59	3.73	4.02	4.18	3.6	3.33	3.68	3.91
ENSG00000002330	4.5	4.32	4.66	4.49	5.11	4.56	4.27	4.12	3.92	4.22	4.83	4.78
ENSG00000002549	6.15	6.36	6.45	6.48	6.39	6.73	6.62	6.99	7.72	8.17	7.77	7.76
ENSG00000002586	7.64	7.55	7.14	6.96	7.42	7.61	7.64	7.33	7.12	7.41	7.74	7.98
ENSG00000002745	6.2	5.23	5.06	4.55	4.15	4.18	4.04	3.51	2.99	1.84	1.58	1.84
ENSG00000002822	5.02	4.86	4.74	4.28	4.82	4.47	4.41	4.31	4.12	4.78	5.35	5.33
ENSG00000002834	5.49	5.43	5.77	6.16	6.22	6.5	6.7	6.89	6.91	7.29	7.46	7.36
ENSG00000002919	3.41	4.53	4.64	4.46	4.18	4.02	4.13	4.66	5.15	5.66	5.84	5.79
ENSG00000003056	6.84	6.88	7.09	7.19	7.11	7.4	7.36	7.51	7.76	8.14	8.48	8.64
ENSG00000003147	1.8	1.94	1.24	1.36	1.26	1.36	1.9	1.79	1.92	2.7	3.02	2.93
ENSG00000003393	3.53	3.74	3.97	4.09	3.6	3.64	3.64	3.36	3.61	4.16	3.98	4.08
ENSG00000003400	2.56	2.52	2.69	2.87	2.55	2.67	2.83	2.9	3.12	3.43	3.58	3.73
ENSG00000003402	3.87	4.21	3.88	3.86	3.83	4.04	4.08	4.17	4.43	5.32	6.12	6.54
ENSG00000003509	4.21	4.44	4.65	4.52	4.4	4.18	4.15	4	4.07	3.97	4	4.11
ENSG00000003756	7.42	7.38	7.22	7.24	6.73	7.04	7.07	7.21	7.08	6.96	6.92	7.08
ENSG00000003989	4.1	4.4	4.81	4.78	4.19	4.15	4.06	3.78	3.78	3.65	3.13	3.57
ENSG00000004059	7.08	7.03	7.17	6.97	7.33	7.2	7.13	7.08	7.06	7.24	7.29	7.19
ENSG00000004139	3.68	3.63	3.94	3.75	3.56	3.42	3.27	3.37	3.23	2.67	2.57	2.81
ENSG00000004142	5.96	5.93	6.19	6.23	6.15	6.17	6.09	6.08	6.07	5.98	5.55	5.59
ENSG00000004399	7.61	6.71	6.14	6.5	6.95	7.48	7.64	7.9	7.77	8	8.6	9.17
ENSG00000004455	7.79	7.67	7.92	8.01	7.77	7.91	7.92	8.04	7.93	7.13	6.4	6.32
ENSG00000004468	6.64	6.28	5.78	5.21	4.81	5.02	4.69	4.37	3.43	2.75	3.2	2.75
ENSG00000004478	6.04	6.11	6.82	7.06	6.61	5.67	5.92	6.04	6.22	5.68	5.38	5.37
ENSG00000004487	7.54	7.47	7.83	7.67	7.36	7.5	7.37	7.14	6.78	5.98	5.36	5.41
ENSG00000004534	7.13	6.6	6.9	6.9	6.59	6.43	6.58	6.76	6.56	6.2	6.5	6.75
ENSG00000004700	5.47	5.3	5.32	5.61	5.49	5.72	5.83	5.78	5.84	5.84	5.7	5.57
ENSG00000004766	3.49	3.23	3.51	3.58	3.56	3.37	3.58	3.49	3.49	3.85	4.3	4.44
ENSG00000004777	4.73	4.4	4.5	3.84	4.07	4.66	4.12	4.31	3.53	2.17	2.31	2.05
ENSG00000004779	7.13	7.15	7.64	7.68	8	7.51	7.35	7.2	7.31	7.07	6.5	6.22
ENSG00000004809	3.72	4.16	3.99	4.03	4.39	3.88	3.63	3.29	3.01	2.72	2.72	2.98
ENSG00000004864	3.91	4.09	4.17	4.11	3.97	4.11	4.08	3.93	4.15	4.5	4.61	4.32
ENSG00000004866	2.89	3.3	3.47	3.25	3.24	3.07	2.83	2.66	2.86	2.83	2.87	3.12
ENSG00000004897	5.6	5.44	5.42	5.51	5.16	5.23	5.1	5.22	5.27	5.36	5.08	4.93
ENSG00000004961	4.06	4.32	4.55	4.51	4.65	4.22	4.27	4.37	4.64	4.92	4.86	4.73
ENSG00000004975	5.08	4.72	4.91	4.78	4.83	5.2	5.12	4.91	4.7	4.28	4.54	5.05
ENSG00000005007	4.98	5.6	5.78	5.43	5.22	5.13	4.93	5	5.01	4.92	4.88	4.75
ENSG00000005022	9.1	9.22	9.5	9.53	9.5	9.43	9.26	9.17	9.12	8.69	8.37	8.57
ENSG00000005059	3.41	3.43	2.52	2.36	3.55	3.84	3.78	3.71	3.95	4.56	4.71	4.55
ENSG00000005075	6.31	6.35	6.33	6.32	6.84	6.69	6.51	6.42	6.37	6.35	6.14	6.13
ENSG00000005100	5.26	6	5.84	5.44	4.8	5.07	4.86	4.68	4.66	4	3.34	3.22
ENSG00000005156	4.7	5.17	5.21	4.91	4.59	4.7	4.68	4.58	4.4	3.7	2.7	2.77
ENSG00000005175	4.97	5.02	5.29	5.32	5.13	4.83	4.7	4.54	4.57	4.54	4.34	4.43
ENSG00000005194	5.91	5.76	5.96	5.99	5.98	5.82	5.71	5.69	5.75	5.63	5.06	5.09
ENSG00000005206	6.02	5.59	5.32	5.14	5.65	6.11	5.72	5.39	4.87	4.18	4.59	4.25
ENSG00000005238	3.18	2.27	2.69	3.05	3.62	3.71	3.68	3.78	4.03	5.32	5.67	5.28
ENSG00000005249	1.54	1.85	3.36	3.18	2.61	2.35	2.65	3.09	3.14	1.29	0.58	0.72
ENSG00000005302	5.21	4.85	5.34	5.81	5.71	5.85	6.02	6.58	6.93	6.75	6.69	6.35
ENSG00000005339	5.35	5.75	5.51	5.59	4.48	5.26	5.27	5.33	5.4	5.11	4.78	4.76
ENSG00000005379	5.79	5.66	4.25	4.19	4.86	5.86	6.1	6.15	5.37	3.49	1.72	1.07
ENSG00000005381	0.96	0.98	0.7	0.88	1.79	2.7	3.19	2.83	1.94	0.12	0.01	0.03
ENSG00000005436	3.56	3.46	3.05	3.01	3.12	2.71	2.58	2.13	2.12	1.83	2.28	2.37
ENSG00000005448	4.16	3.86	3.42	3.39	4.28	3.95	3.89	3.96	3.71	3.97	3.83	3.29
ENSG00000005469	2.66	2.5	2.33	2.48	2.14	1.95	2.04	1.5	1.35	1.16	2.06	2.64
ENSG00000005471	3.26	3.29	3.03	2.79	2.92	2.6	2.37	2.03	1.5	1.48	2.36	2.44
ENSG00000005483	6.06	5.83	5.34	5.29	4.61	5.45	5.42	5.25	5.11	5.2	5.48	5.61
ENSG00000005486	4.14	4.94	5.7	5.4	5.25	5.05	4.81	5.01	5.27	5.75	6.3	5.93
ENSG00000005700	3.62	3.39	3.77	3.81	3.72	3.93	4.14	4.16	4.26	4.4	4.18	4.11
ENSG00000005801	5.99	6.15	5.59	5.67	5.36	5.43	5.46	5.32	5.27	4.94	4.26	4.25
ENSG00000005810	6.46	6.31	5.82	6.01	5.78	6.24	6.38	6.13	6	5.51	5.27	5.28
ENSG00000005812	3.66	4.73	4.18	4.09	3.77	3.73	3.76	3.97	4.09	4.34	4.63	4.67
ENSG00000005844	0.51	0.46	0.59	1.03	1.31	2.38	3.3	4.66	5.12	5.89	6.03	5.43
ENSG00000005882	3.76	3.51	3.11	3.43	3.78	4.1	4.17	4.24	3.95	4.06	4.08	4.27
ENSG00000005889	4.6	5.05	4.77	4.92	4.23	4.46	4.63	4.44	4.55	4.6	4.43	4.33
ENSG00000005893	5.03	5.26	5.41	5.65	5.21	5.64	5.69	5.5	5.66	6.31	7.17	7.43
ENSG00000006007	4.7	4.62	4.36	4.51	4.52	4.47	4.49	4.62	5.14	6.01	6.55	6.54
ENSG00000006015	3.96	4.2	4.56	4.42	5.52	5.29	5.11	4.87	4.83	4.94	5.55	5.11
ENSG00000006025	3.89	3.44	3.88	3.6	3.4	3.6	3.44	3.58	3.37	3.07	3.06	3.37
ENSG00000006042	4.67	4.5	4.33	3.93	4.39	4.28	3.84	3.12	2.51	1.99	0.76	0.49
ENSG00000006062	2.91	3.89	3.66	3.42	3.4	3.26	3.08	2.89	2.56	2.23	2.6	2.93
ENSG00000006118	3.84	3.32	2.83	2.68	3.27	3.08	2.64	2.41	1.68	0.79	0.68	0.8
ENSG00000006125	6.49	6.28	6.49	6.52	6.12	6.2	6.26	6.18	6.2	6.33	6.18	6.09
ENSG00000006194	5.61	6.14	5.99	5.85	5.36	5.33	5.21	5.19	5.25	5.23	5.18	5.16
ENSG00000006282	2.17	2.26	2.12	2.1	2.03	2.49	2.56	3.23	3.37	3.25	3.22	3.3
ENSG00000006327	1.4	2.57	2.59	2.03	1.86	1.11	1.05	1.71	2.14	2.98	2.82	2.41
ENSG00000006451	5.04	4.77	5.09	5.02	4.93	4.64	4.79	4.7	4.78	4.78	5.14	5.49
ENSG00000006459	2.69	3.43	3.61	3.93	3.83	4.31	4.44	4.79	4.91	4.98	5.28	5.34
ENSG00000006530	5.08	5.11	5	4.9	4.83	5.02	4.9	4.74	4.76	4.84	4.59	4.44
ENSG00000006534	2.96	2.89	2.47	3.09	4.25	5.06	5.01	5.06	4.59	4.59	5.54	5.46
ENSG00000006576	3.51	3.94	3.58	3.26	3.09	3.6	3.36	3.41	3.55	4.11	4.42	4.2
ENSG00000006607	4.14	4.74	4.37	4.17	3.55	3.99	3.65	3.85	3.89	3.81	3.68	3.59
ENSG00000006625	6.28	6.04	5.87	5.91	6.14	6.05	5.98	5.86	6.01	5.29	5.16	5.13
ENSG00000006634	5.54	5.73	5.64	5.73	5.37	5.37	5.38	5.37	5.41	4.81	3.86	3.62
ENSG00000006652	4.48	6.16	5.88	6.07	5.4	5.06	5.09	4.8	4.91	4.87	4.99	5
ENSG00000006695	3.48	3.94	4.01	4.07	3.83	3.59	3.63	3.66	3.86	3.47	2.94	2.84
ENSG00000006704	4.74	4.48	3.89	3.88	4	4.3	3.93	3.73	3.52	3.08	3.35	3.74
