class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.4777141967379	ns	12.2671	0.69852301477	0.793259766454971	-0.347991057015856	0.267668990850636	0.440176530110712	-0.771902827291936	0.00326737294783393	0.0126477930023382	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	1.04646525291078	ns	10.2952	0.0327496725033	0.0541222206629963	-0.0841982000921753	0.794739646365572	0.874333382698389	0.38847697069958	0.212045933468433	0.305361454370245	stable
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	1.31852283149726	ns	12.7251	0.60355396446	0.696241680019221	-0.754038394210144	0.00461042108162128	0.0312683118964686	0.38520612604683	0.216254738966718	0.310525613296702	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	8.75462044895693	significant	4.2036	9.999900001e-06	1.77221798737652e-05	0.682036510893602	0.0145550657430654	0.0660615314429026	0.940290390442205	5.40448575082752e-06	0.000140905187320595	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.173947780839317	ns	4.9419	9.999900001e-06	1.77221798737652e-05	0.313471097873601	0.321111117420365	0.496943641270406	0.754789068604586	0.00454675649975016	0.0161146261017356	stable
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.65948093220339	ns	15.2554	0.992240077599	1	-0.707125065084191	0.0101167478057024	0.0525808963623238	0.48876129944607	0.10686989253496	0.179006509058138	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	2.85522871314412	significant	8.2484	9.999900001e-06	1.77221798737652e-05	0.228107180418851	0.475808822145731	0.638493456188205	0.413852675520127	0.181091592605495	0.269492394293348	not_correlated
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	1.05628305425544	significant	9.2403	9.999900001e-06	1.77221798737652e-05	-0.439699794306656	0.152629116417167	0.307865311436788	-0.314565158297719	0.319333665715061	0.419918243790136	not_correlated
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	1.62668430189303	ns	18.8998	1	1	-0.430477930786121	0.162432163507002	0.320631827178276	-0.732894306093822	0.00669706493281915	0.0212273277846767	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	6.24118120507341	significant	5.4364	9.999900001e-06	1.77221798737652e-05	0.640640286457435	0.0248014133687933	0.0945656929493876	0.614512112466274	0.0334909553208772	0.0727906640657306	not_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	1.00981647460521	ns	7.1125	9.999900001e-06	1.77221798737652e-05	0.238730392163088	0.454914896674847	0.621675735244898	-0.840536212499484	0.000617311571961549	0.00375799517580271	stable
ENSG00000002549	upregulation	NA	NA	NA	upregulation	yes	4.42411762911443	ns	6.9553	9.999900001e-06	1.77221798737652e-05	-0.0683308080998193	0.832884623534815	0.897570025251721	0.8005017836117	0.00176119144931782	0.00808369665972046	stable
