class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.77834870956441	ns	9.8282	9.999900001e-06	1.44868493511597e-05	0.103557552443411	0.748760396268713	0.828055485117909	0.245210924005652	0.44238646830668	0.565821806853661	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	0.707228166477261	ns	5.9643	9.999900001e-06	1.44868493511597e-05	0.433447159295592	0.159233420698691	0.272991029073002	0.0554887561482784	0.864004689502918	0.908588154560623	stable
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	0.20229397034121	ns	7.9427	9.999900001e-06	1.44868493511597e-05	-0.0689770111364533	0.831324129119728	0.888015385660658	-0.388236539615761	0.212353605659469	0.327789174166141	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	1.65673831998096	significant	3.1952	9.999900001e-06	1.44868493511597e-05	0.834755307070078	0.000730086022650129	0.00458406765494113	0.847684868699746	0.000497058379946696	0.00348072247032277	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.067112581560429	significant	2.5736	9.999900001e-06	1.44868493511597e-05	0.880692934582233	0.000155313354906892	0.0014670899941246	0.894027333666889	8.78879001824503e-05	0.000987365228500697	positively_correlated
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.672722457627119	ns	8.5886	9.999900001e-06	1.44868493511597e-05	0.389049102797622	0.211314882032846	0.335979409784538	0.900252809077481	6.56375002315124e-05	0.000791137153197766	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	1.8806833838523	significant	4.8378	9.999900001e-06	1.44868493511597e-05	0.531805019128263	0.0751430424172421	0.155883911067326	0.410834244130728	0.184616419918905	0.294049590118787	not_correlated
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	0.41059087913759	ns	13.4116	0.259747402526	0.304335159716365	-0.249725275050448	0.433758442158329	0.563998493208463	0.696491154175667	0.0118528481867223	0.0364999757412123	stable
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	1.2066628089609	significant	3.4896	9.999900001e-06	1.44868493511597e-05	0.773006577281356	0.00319550309075523	0.0140427039933463	0.603987459315341	0.0375410383319608	0.0872444949305335	positively_correlated
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	1.43645749493492	significant	5.5647	9.999900001e-06	1.44868493511597e-05	0.444275810664011	0.147908366558022	0.25847881931466	0.928174147054456	1.33334504598704e-05	0.000239770807510542	positively_correlated
