class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.77297676048114	ns	9.0562	9.999900001e-06	1.3738516493924e-05	0.0675454009970486	0.834782022528628	0.875604260555002	-0.377659656106026	0.226156469454606	0.347564008654957	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	0.637862641250509	significant	3.9147	9.999900001e-06	1.3738516493924e-05	0.663143590667275	0.018740093205176	0.043373637533734	0.480294525256933	0.114014922389868	0.2101316930362	positively_correlated
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	0.193008852293455	ns	9.5692	9.999900001e-06	1.3738516493924e-05	0.337064314584173	0.283991623471884	0.382373414483292	-0.0123712532815068	0.969561330722324	0.979902005148514	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	3.84663282303482	significant	2.1782	9.999900001e-06	1.3738516493924e-05	0.931801306411192	1.03541861230741e-05	0.000172326309293154	0.451276369263761	0.140869476454168	0.245289012197418	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.0466571747569832	significant	2.8289	9.999900001e-06	1.3738516493924e-05	0.765514037768896	0.00370782036779239	0.0117891934167382	0.779781719780924	0.00278031529113458	0.0136025259480217	positively_correlated
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.421610169491525	ns	7.3444	9.999900001e-06	1.3738516493924e-05	0.545190538179564	0.0667702281416426	0.119962098578333	0.574829705509111	0.050568199204045	0.116740970320243	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	1.97061862772114	ns	14.6082	0.169338306617	0.198045529748859	-0.530636334638171	0.0759065672547036	0.133301769377678	-0.133644719144961	0.678816259375591	0.771735752434627	stable
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	0.304513120321714	significant	9.5087	9.999900001e-06	1.3738516493924e-05	-0.323437463365527	0.305120232280908	0.404641180915431	0.0788187413847095	0.807629721156778	0.865822569751913	not_correlated
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	1.23373563693478	significant	2.2035	9.999900001e-06	1.3738516493924e-05	0.894324203839838	8.67084212048227e-05	0.000693494471490616	0.291995969630267	0.35708810798639	0.490529924608917	positively_correlated
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	2.59429380255891	significant	3.8647	9.999900001e-06	1.3738516493924e-05	0.778908586053933	0.00283137500334441	0.00955142568411643	0.879974864782146	0.000159843355165112	0.00171707571810296	positively_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	0.929790866410585	ns	14.9085	0.358216417836	0.390861276371109	-0.171043305639882	0.59506618742298	0.68116737378812	0.418464677309159	0.175787415704901	0.288866190960159	stable
ENSG00000002549	upregulation	NA	NA	NA	upregulation	yes	2.96638296574235	significant	2.3364	9.999900001e-06	1.3738516493924e-05	0.898354468904475	7.18888500818133e-05	0.000602921570837005	0.821455724400913	0.00104995762616657	0.00682258179941706	positively_correlated
ENSG00000002586	variable	variable	cluster_3	bending	bending	yes	4.86117665112889	ns	11.5429	0.167478325217	0.196104382555944	0.0864267677613688	0.789413220108621	0.842726566089399	-0.411858306532535	0.183415812680815	0.297592716864918	stable
ENSG00000002745	downregulation	NA	NA	NA	downregulation	yes	6.75239598601872	significant	2.8283	9.999900001e-06	1.3738516493924e-05	0.780958090820591	0.00271263572640409	0.00924023940433699	0.808722627652889	0.0014482809693966	0.00857123904564828	positively_correlated
ENSG00000002834	upregulation	NA	NA	NA	upregulation	yes	6.6074899836771	significant	12.3319	0.137618623814	0.163334309844046	-0.312238610944918	0.323119949380779	0.424112396139837	0.526681982335799	0.0785293544513591	0.160056402942604	not_correlated
ENSG00000002919	upregulation	NA	NA	NA	upregulation	yes	2.92402615342113	significant	2.085	9.999900001e-06	1.3738516493924e-05	0.852709672612212	0.000424051485365351	0.00224632257276149	0.933562602464192	9.1118603135003e-06	0.000217809033319707	positively_correlated
ENSG00000003056	upregulation	NA	NA	NA	upregulation	yes	3.93668593116536	significant	2.7291	9.999900001e-06	1.3738516493924e-05	0.793390378350028	0.00207152672374603	0.00744087379918319	0.848986058401368	0.000477283532203252	0.00386881559708542	positively_correlated
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation	yes	0.149560407646003	significant	1.2858	9.999900001e-06	1.3738516493924e-05	0.897901655204619	7.34467664564014e-05	0.000609927495355333	0.350709315699423	0.263694521992254	0.390475791515479	positively_correlated
