H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	92.38	103.61	104.33	100.16	78.97	84.35	85.64	85.97	93.14	99.63	103.67	78.78
ENSG00000000457	83.13	84.22	86.53	85.65	76.45	85.01	78.29	77.22	94.66	111.4	119.88	106.96
ENSG00000000460	0.09	0.12	0.11	0.13	0.11	0.09	0.1	0.12	0.11	0.1	0.09	0.11
ENSG00000000938	9.1	8.12	9.74	10.34	12.03	12.6	11.77	21.79	27.29	40.65	51.69	40.4
ENSG00000000971	0.18	0.35	0.27	0.27	2.46	0.45	4.99	0.71	3.08	5.87	4.64	4.94
ENSG00000001036	9.99	6.87	6.14	5.55	4.26	5.91	6.91	8.49	9.69	7.69	10.39	9.26
ENSG00000001167	78.09	78.15	84.37	91	87.73	90.49	88.55	89.7	84.53	83.3	90.98	90.1
ENSG00000001461	11.68	9.74	10.1	9.64	11.1	6.91	7.24	9.12	8.75	8.7	5.97	5.21
ENSG00000001497	42.04	36.56	40.28	38.33	39.57	33.17	31.59	37.12	32.07	26.91	24.29	19.52
ENSG00000001617	54.31	44.34	39.88	38.14	35.73	30.95	31.19	26.46	26.26	16.34	33.25	26.99
ENSG00000001630	37.32	45.97	51.31	42.11	55.28	39.95	47.29	45.86	44.33	43.56	50.95	46.31
ENSG00000002549	45.12	40.85	46.07	45.38	52.42	54.64	55.32	60.41	78.29	77.55	61.29	69.86
ENSG00000002586	70.35	84.08	58.85	79.56	78.8	84.23	88.13	77.44	76.13	75.26	77.8	70.66
ENSG00000002745	17.53	4.74	4.61	4.36	2	2.64	0.68	2.21	0.44	0.43	0.18	0.22
ENSG00000002834	38.22	41.93	46.67	57.81	53.05	51.6	51.14	44.87	42.4	38.42	36.81	34.75
ENSG00000002919	19.08	17.2	22.18	25.12	23.06	21.81	15.04	14.65	9.23	5.53	10.07	9.33
ENSG00000003056	43.6	48.44	50.45	45.18	56.91	59.41	59.82	62.73	70.18	82.04	77.46	63.16
ENSG00000003147	9.72	7.59	7.25	8.21	7.61	7.79	6.83	8.19	12.8	17.13	17.78	16.98
ENSG00000003400	13.28	13.52	12.49	14.45	11.69	21.78	18.27	13.72	20.62	32.44	19.42	19.91
ENSG00000003402	106.6	91.44	106.27	115.51	128.04	128.57	147.6	148.61	161.12	126.46	84.89	86.56
ENSG00000003509	61.07	54.73	52.73	51.03	59.45	53.91	60.12	57.68	55.98	54.33	45.29	48.15
ENSG00000003989	32.57	24.94	27.31	24.75	26.52	21.54	18.88	19.03	21.75	23.13	19.38	11.77
ENSG00000004139	1.74	0.55	0.57	0.65	0.55	0.37	0.65	0.71	0.58	0.55	0.62	0.33
ENSG00000004142	75.11	65.57	70.64	57.09	71.83	61.97	65.86	62.58	60	67.15	77.09	73.31
ENSG00000004399	63.13	57.39	47.16	47.24	37.47	51.03	49.91	42.96	40.78	44.94	44	74.78
ENSG00000004455	10.71	16.39	10.59	13.6	13.14	12.29	9.7	12.5	9.52	15.81	18.31	17.72
ENSG00000004468	48.08	63.76	53.15	48.59	40.19	38.72	37.71	31.26	26.99	14.36	10.65	7.39
ENSG00000004478	37.91	49.99	47.16	31.9	32.66	35.14	34.3	29.22	29.58	26.8	37.34	33.33
ENSG00000004487	109.09	114.22	119.67	114.2	110.43	117.05	111.64	99.15	99.7	79.83	63.52	81.17
ENSG00000004534	53.15	45.44	66.47	66.43	48.08	54.96	45.74	51.33	52.58	51.6	55.34	53.93
ENSG00000004700	39.11	41.46	44.14	53.52	54.4	51.82	58.89	54.6	46.67	52.46	56.74	48.52
