H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000003	0.24	0.19	0.17	0.16	0.32	0.18	0.2	0.21	0.23	0.34	0.42	0.27
ENSG00000000005	0.09	0.17	0.09	0.17	0.11	0.18	0.23	0.15	0.13	0.11	0.27	0.26
ENSG00000000419	0.05	0.09	0.06	0.06	0.09	0.05	0.09	0.06	0.07	0.05	0.07	0.09
ENSG00000000457	0.09	0.16	0.13	0.16	0.12	0.08	0.12	0.08	0.16	0.11	0.07	0.05
ENSG00000000460	4.57	4.83	2.76	2.62	4.37	3.42	4.65	5.07	4.55	3.9	3.29	4.97
ENSG00000000938	0.18	0.14	0.11	0.12	0.18	0.12	0.1	0.16	2.6	0.15	0.09	0.08
ENSG00000000971	0.07	0.09	0.12	0.13	0.12	0.18	0.11	0.09	0.09	0.15	0.17	0.2
ENSG00000001036	2.69	3.38	7.64	3.98	3.44	3.45	3.85	2.7	3.33	3.2	3.89	3.29
ENSG00000001084	0.41	0.29	0.31	0.24	0.19	0.26	0.64	0.34	0.25	0.28	0.67	2.68
ENSG00000001167	0.04	0.04	0.11	0.1	0.08	0.08	0.05	0.05	0.08	0.05	0.03	0.07
ENSG00000001460	0.04	0.03	0.03	0.05	0.06	0.04	0.04	0.05	0.04	0.04	0.03	0.05
ENSG00000001461	0.1	0.06	0.12	0.14	0.08	0.06	0.15	0.1	0.07	0.12	0.07	0.06
ENSG00000001497	0.56	1.05	2.6	1.47	0.59	0.76	0.42	1.77	1.92	0.54	1.05	2.99
ENSG00000001561	4.8	3.73	4.66	4.68	4.25	3.91	6.17	4.77	4.59	5.07	3.74	4.88
ENSG00000001617	0.05	0.04	0.07	0.07	0.06	0.05	0.05	0.05	0.05	0.06	0.06	0.09
ENSG00000001626	0.14	0.14	0.07	0.12	0.11	0.17	0.18	0.1	0.14	0.12	0.18	0.14
ENSG00000001629	0.07	0.1	0.1	0.05	0.07	0.06	0.04	0.08	0.05	0.04	0.07	0.09
