H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.26	0.22	0.26	0.25	0.3	0.53	0.29	0.6	0.48	1.44	0.28	0.31
ENSG00000000419	9.2	8.44	6.36	6.88	6.44	6.58	8.08	7.13	6.12	6.1	8.23	11.04
ENSG00000000457	1.97	0.77	2.5	1.01	3.31	3.05	2.83	4.18	2.63	1.5	3.51	4.59
ENSG00000000460	0.22	3.15	0.19	0.21	0.24	2.14	0.24	0.22	2.63	0.99	0.3	0.92
ENSG00000000938	0.28	2.9	1.85	2.04	0.31	0.23	0.14	0.22	0.33	3.93	3.22	1.3
ENSG00000000971	0.18	0.22	0.18	0.17	0.21	0.28	0.24	0.26	0.21	0.21	0.4	1.54
ENSG00000001036	0.24	0.31	0.24	0.27	0.22	0.26	0.21	0.63	0.25	0.26	0.35	1.04
ENSG00000001084	4.71	5.17	7.16	5.65	5.04	5.42	4.2	4.85	2.59	4.64	11.03	9.89
ENSG00000001167	12.87	16.38	13.96	11.25	10.35	6.59	10.15	5.97	6.23	4.52	5.83	5.87
ENSG00000001461	2.85	3.08	1.51	0.44	0.43	0.42	0.36	2.44	0.42	0.32	0.31	0.51
ENSG00000001497	5.17	5.6	6.26	7.33	6.24	4.21	3.73	4.11	3.9	1.87	0.4	0.41
ENSG00000001617	3.53	4.45	4.74	4.18	3.85	3.47	2.34	4.87	3.31	2.6	0.24	0.25
ENSG00000001629	4.6	4.27	4.54	4.11	3.75	3.19	3.34	3.11	2.89	3.15	3.86	6.38
ENSG00000001630	1.26	5.53	2.87	2.93	0.57	0.64	2.87	0.47	0.43	0.37	3.17	1.27
ENSG00000001631	0.42	0.68	0.34	1.76	0.5	0.58	0.74	0.42	0.36	0.3	3.22	2.32
ENSG00000002016	1.7	0.25	0.28	0.36	3.77	2.99	2.65	6.89	5.2	5.37	3.9	3.64
ENSG00000002330	0.39	0.33	0.44	0.48	0.94	0.42	0.38	2.44	2.06	0.42	0.29	0.31
ENSG00000002549	3.07	6.86	3.76	3.03	2.54	3.08	2.35	3.67	4.99	5.6	5.91	5.34
ENSG00000002586	7.83	5.21	5.75	4.84	5.24	5.55	6.05	6.81	6.29	13.22	10.94	12.45
ENSG00000002745	14.14	12.31	8.17	5.3	6.61	5.7	4.64	3.05	4.11	4.35	0.86	0.72
ENSG00000002822	22.59	21.59	22.8	17.51	15.97	20.44	19.4	21.97	20.73	16.68	13.46	16.02
ENSG00000002834	6.15	5.22	6.9	6.67	8.94	10.35	10.4	20.56	16.7	21	25.35	23.88
ENSG00000002919	1.92	4.52	3.2	1.94	2.87	2.75	2.78	0.69	2.79	3.98	7.04	5.6
ENSG00000003056	5.03	5.01	5.93	5.85	6.61	7.24	9.84	5.77	9.07	9.1	17.39	16.36
ENSG00000003147	0.16	0.16	0.15	0.15	0.15	0.17	0.18	0.24	0.21	0.21	0.32	0.56
ENSG00000003393	1.61	0.42	2.44	3.79	3.13	3.84	2.85	3.75	0.3	3.06	4.71	4.82
ENSG00000003400	0.2	0.19	0.16	0.18	0.16	0.18	0.2	0.15	0.2	1.38	2.52	1.39
ENSG00000003402	4.71	4.33	3.09	2.9	2.77	2.87	2.29	0.36	1.6	2.52	6.8	10.18
ENSG00000003509	2.05	0.67	2.37	2.84	2.11	1.63	2.31	0.6	0.53	0.35	2.55	2.6
ENSG00000003756	6.24	7.61	6.64	6.32	6.78	6.96	8.48	6.53	8.5	10.3	11.65	10.06
ENSG00000003989	4.19	2.52	5.15	3.07	3.79	3.56	3.45	0.24	0.21	0.2	0.28	0.43
ENSG00000004059	6.01	3.33	3.55	3.63	2.02	2	3.32	3.93	2.61	3.55	6.1	4.27
ENSG00000004139	6.71	7.14	5.61	6.22	5.37	5.94	5.04	4.8	5.76	4.1	3.67	4.8
ENSG00000004142	1.55	1.26	1.93	2	2.89	2.57	2.31	2.66	3.42	3.36	1.65	0.96
ENSG00000004399	17.72	11.7	13.77	13.4	16.67	10.62	14.27	14.89	13.89	13.75	15.33	18.76
ENSG00000004455	9.66	6.57	7.12	8.27	7.43	5.88	6.11	4.43	5.46	5.15	5.12	5.49
ENSG00000004468	3.48	3.58	3.06	0.33	0.23	0.23	0.21	0.16	0.15	2.36	0.3	0.26
ENSG00000004478	6.41	9.52	10.4	9.16	8.57	8.28	6.25	6.02	7.87	5.07	6.04	4.45
