H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	8.69	8.02	6.07	6.69	6.44	6.49	8.1	6.97	5.86	5.95	8.49	11.38
ENSG00000000457	2.01	0.54	2.25	1.18	3.26	3.01	3.11	4.04	2.32	1.31	3.79	4.91
ENSG00000000460	0.24	2.82	0.2	0.22	0.24	2.19	0.25	0.2	2.32	0.9	0.35	0.4
ENSG00000000938	0.31	2.5	1.68	2.06	0.3	0.24	0.14	0.21	0.3	3.64	3.51	1.29
ENSG00000000971	0.2	0.21	0.18	0.17	0.21	0.27	0.25	0.21	0.2	0.2	0.49	0.98
ENSG00000001036	0.26	0.29	0.25	0.28	0.21	0.26	0.23	0.35	0.23	0.25	0.47	0.44
ENSG00000001167	12.17	16.37	13.93	11.11	10.28	6.55	10.06	5.72	6.61	4.28	6.12	6.18
ENSG00000001461	2.53	2.81	1.43	0.48	0.42	0.41	0.35	2.28	0.36	0.29	0.37	0.54
ENSG00000001497	4.75	5.25	5.94	7.11	6.21	4.11	3.84	3.9	3.6	1.63	0.33	0.36
ENSG00000001617	3.16	4.17	4.59	4.2	3.8	3.39	2.61	4.41	2.96	2.24	0.29	0.32
ENSG00000001630	1.36	5.13	2.58	2.85	0.5	0.65	3.14	0.35	0.36	0.34	3.93	1.26
ENSG00000002549	2.84	6.47	3.5	3.07	2.61	3.08	2.68	3.48	4.7	5.39	6.22	5.64
ENSG00000002586	7.33	4.87	5.45	4.71	5.17	5.47	6.03	6.62	6.04	13.14	11.19	12.85
ENSG00000002745	13.53	11.92	7.87	5.16	6.57	5.56	4.68	2.94	3.81	4.06	0.97	0.83
ENSG00000002834	5.72	4.95	6.58	6.5	8.88	10.17	10.4	20.72	16.57	20.98	25.34	23.77
ENSG00000002919	1.87	4.21	3.07	2.04	2.95	2.75	3.02	0.51	2.31	3.51	7.77	5.97
ENSG00000003056	4.63	4.69	5.61	5.68	6.61	7.03	9.79	5.62	8.9	8.97	17.65	16.73
ENSG00000003147	0.17	0.16	0.16	0.15	0.16	0.17	0.18	0.21	0.21	0.21	0.38	0.33
ENSG00000003400	0.23	0.21	0.18	0.19	0.16	0.18	0.22	0.15	0.19	1.23	2.79	1.26
ENSG00000003402	4.3	4.07	2.91	2.84	2.86	2.91	2.4	0.32	1.33	2.28	7.09	10.54
ENSG00000003509	1.79	0.54	2.27	2.78	2.03	1.68	2.63	0.43	0.42	0.33	2.9	2.36
ENSG00000003989	3.8	2.25	4.84	2.99	3.74	3.65	3.64	0.22	0.2	0.19	0.32	0.37
ENSG00000004139	6.24	6.75	5.33	6.12	5.34	5.74	5.11	4.7	5.51	3.83	3.97	5.12
ENSG00000004142	1.59	0.9	1.54	2.01	2.64	3.47	2.53	2.6	3.34	3.01	2.96	1.12
ENSG00000004399	16.98	11.28	13.52	13.3	16.71	10.49	14.35	14.49	13.66	13.63	15.55	19.04
ENSG00000004455	9.13	6.22	6.82	8.05	7.4	5.82	6.12	4.29	5.2	4.96	5.39	5.79
ENSG00000004468	3.25	3.35	3.07	0.38	0.24	0.26	0.24	0.16	0.15	2.07	0.35	0.23
ENSG00000004478	5.96	9.1	10.2	8.95	8.52	8.18	6.3	5.9	7.63	4.88	6.31	4.8
ENSG00000004487	16.01	10.81	10.5	12.11	9.05	10.51	10	7.17	5.29	6.18	5.17	8.13
ENSG00000004534	9.5	9.19	10.81	12.65	13.08	10.38	9.1	9.19	9.73	10.11	12.94	11.38
ENSG00000004700	1.31	0.65	0.37	0.49	1.07	4.11	3.66	0.54	0.49	2.72	5.34	2.27
ENSG00000004766	2.53	2.63	1.51	3.71	2.78	2.56	4.99	3.7	2.22	4.6	8.51	7.58
ENSG00000004777	3.05	0.86	2.81	1.62	0.89	0.63	0.54	0.86	2.73	1.43	0.21	0.24
ENSG00000004779	10.37	7.88	12.49	15.48	15.55	12.88	13.37	9.09	10.49	8.5	6.86	6.7
ENSG00000004809	2.66	0.25	0.25	0.23	0.18	0.2	0.29	0.17	0.16	0.17	0.39	0.51
ENSG00000004864	2.98	3.28	3.86	3.83	4.12	3.87	5.65	7.71	5	6.44	8.47	9.24
