class	time_point	hc	class2	final_class
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000000460	downregulation	NA	NA	NA	downregulation
ENSG00000000938	upregulation	NA	NA	NA	upregulation
ENSG00000000971	upregulation	NA	NA	NA	upregulation
ENSG00000001036	upregulation	NA	NA	NA	upregulation
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation
ENSG00000001461	variable	variable	cluster_3	bending	bending
ENSG00000001497	downregulation	NA	NA	NA	downregulation
ENSG00000001617	downregulation	NA	NA	NA	downregulation
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation
ENSG00000002549	upregulation	NA	NA	NA	upregulation
ENSG00000002586	variable	variable	cluster_3	bending	bending
ENSG00000002745	downregulation	NA	NA	NA	downregulation
ENSG00000002834	upregulation	NA	NA	NA	upregulation
ENSG00000002919	upregulation	NA	NA	NA	upregulation
ENSG00000003056	upregulation	NA	NA	NA	upregulation
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation
ENSG00000003400	upregulation	NA	NA	NA	upregulation
ENSG00000003402	upregulation	NA	NA	NA	upregulation
ENSG00000003509	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000003989	variable	variable	cluster_1	downregulation	downregulation
ENSG00000004139	variable	variable	cluster_1	downregulation	downregulation
ENSG00000004142	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000004399	bending	H006	NA	NA	bending
ENSG00000004455	downregulation	NA	NA	NA	downregulation
ENSG00000004468	downregulation	NA	NA	NA	downregulation
ENSG00000004478	peaking	H009	NA	NA	peaking
ENSG00000004487	downregulation	NA	NA	NA	downregulation
ENSG00000004534	high_expression	flat	cluster_3	bending	bending
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000004766	upregulation	NA	NA	NA	upregulation
ENSG00000004777	downregulation	NA	NA	NA	downregulation
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation
ENSG00000004864	high_expression	flat	cluster_3	bending	bending
ENSG00000004866	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000004897	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000004961	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000005007	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005022	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005059	bending	H009	NA	NA	bending
ENSG00000005100	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005156	downregulation	NA	NA	NA	downregulation
ENSG00000005175	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000005194	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000005206	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005238	variable	variable	cluster_2	upregulation	upregulation
ENSG00000005249	peaking	H006	NA	NA	peaking
ENSG00000005302	variable	variable	cluster_2	upregulation	upregulation
ENSG00000005379	downregulation	NA	NA	NA	downregulation
ENSG00000005381	peaking	H024	NA	NA	peaking
ENSG00000005436	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005469	variable	variable	cluster_3	bending	bending
ENSG00000005471	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005486	variable	variable	cluster_3	bending	bending
ENSG00000005700	variable	variable	cluster_2	upregulation	upregulation
ENSG00000005801	downregulation	NA	NA	NA	downregulation
ENSG00000005810	variable	variable	cluster_1	downregulation	downregulation
ENSG00000005812	variable	variable	cluster_3	bending	bending
ENSG00000005844	upregulation	NA	NA	NA	upregulation
ENSG00000005882	variable	variable	cluster_2	upregulation	upregulation
ENSG00000005893	upregulation	NA	NA	NA	upregulation
ENSG00000006007	upregulation	NA	NA	NA	upregulation
ENSG00000006025	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000006042	downregulation	NA	NA	NA	downregulation
ENSG00000006062	variable	variable	cluster_1	downregulation	downregulation
ENSG00000006118	downregulation	NA	NA	NA	downregulation
ENSG00000006194	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000006282	upregulation	NA	NA	NA	upregulation
ENSG00000006451	high_expression	flat	cluster_3	bending	bending
ENSG00000006459	upregulation	NA	NA	NA	upregulation
ENSG00000006530	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000006534	upregulation	NA	NA	NA	upregulation
ENSG00000006576	variable	variable	cluster_3	bending	bending
ENSG00000006607	variable	variable	cluster_1	downregulation	downregulation
ENSG00000006625	downregulation	NA	NA	NA	downregulation
ENSG00000006634	downregulation	NA	NA	NA	downregulation
ENSG00000006695	variable	variable	cluster_1	downregulation	downregulation
ENSG00000006704	variable	variable	cluster_1	downregulation	downregulation
ENSG00000006712	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000006715	variable	variable	cluster_2	upregulation	upregulation
ENSG00000006744	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000006831	variable	variable	cluster_1	downregulation	downregulation
ENSG00000007038	variable	variable	cluster_1	downregulation	downregulation
ENSG00000007047	high_expression	flat	cluster_3	bending	bending
ENSG00000007168	high_expression	flat	cluster_3	bending	bending
ENSG00000007376	peaking	H006	NA	NA	peaking
ENSG00000007392	variable	variable	cluster_1	downregulation	downregulation
ENSG00000007545	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000007923	variable	variable	cluster_1	downregulation	downregulation
ENSG00000007944	upregulation	NA	NA	NA	upregulation
ENSG00000007968	downregulation	NA	NA	NA	downregulation
ENSG00000008018	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008083	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008128	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000008130	upregulation	NA	NA	NA	upregulation
ENSG00000008282	variable	variable	cluster_2	upregulation	upregulation
ENSG00000008283	upregulation	NA	NA	NA	upregulation
ENSG00000008294	variable	variable	cluster_3	bending	bending
ENSG00000008311	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008324	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008405	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008441	downregulation	NA	NA	NA	downregulation
ENSG00000008513	upregulation	NA	NA	NA	upregulation
ENSG00000008838	variable	variable	cluster_1	downregulation	downregulation
ENSG00000008853	peaking	H036	NA	NA	peaking
ENSG00000008869	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000009413	moderate_expression	flat	cluster_3	bending	bending
ENSG00000009790	upregulation	NA	NA	NA	upregulation
ENSG00000009844	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000009954	downregulation	NA	NA	NA	downregulation
ENSG00000010017	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010165	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000010219	variable	variable	cluster_3	bending	bending
ENSG00000010244	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000010256	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010270	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010278	variable	variable	cluster_3	bending	bending
ENSG00000010292	downregulation	NA	NA	NA	downregulation
ENSG00000010295	variable	variable	cluster_2	upregulation	upregulation
ENSG00000010322	variable	variable	cluster_2	upregulation	upregulation
ENSG00000010327	upregulation	NA	NA	NA	upregulation
ENSG00000010361	variable	variable	cluster_3	bending	bending
ENSG00000010539	moderate_expression	flat	cluster_3	bending	bending
ENSG00000010610	upregulation	NA	NA	NA	upregulation
ENSG00000010803	downregulation	NA	NA	NA	downregulation
ENSG00000010810	downregulation	NA	NA	NA	downregulation
ENSG00000010818	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011028	upregulation	NA	NA	NA	upregulation
ENSG00000011052	peaking	H012	NA	NA	peaking
ENSG00000011105	variable	variable	cluster_3	bending	bending
ENSG00000011258	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011260	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000011275	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000011295	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011304	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011376	downregulation	NA	NA	NA	downregulation
ENSG00000011405	variable	variable	cluster_3	bending	bending
ENSG00000011426	downregulation	NA	NA	NA	downregulation
ENSG00000011451	peaking	H006	NA	NA	peaking
ENSG00000011478	variable	variable	cluster_3	bending	bending
ENSG00000011485	downregulation	NA	NA	NA	downregulation
ENSG00000011523	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011566	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011600	upregulation	NA	NA	NA	upregulation
ENSG00000011638	variable	variable	cluster_3	bending	bending
ENSG00000012048	downregulation	NA	NA	NA	downregulation
ENSG00000012061	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000012174	moderate_expression	flat	cluster_3	bending	bending
ENSG00000012211	variable	variable	cluster_2	upregulation	upregulation
ENSG00000012232	variable	variable	cluster_1	downregulation	downregulation
ENSG00000012660	downregulation	NA	NA	NA	downregulation
ENSG00000012779	peaking	H018	NA	NA	peaking
ENSG00000012822	bending	H006	NA	NA	bending
