H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
Peak1000022	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000023	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000024	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000025	6	6	6	6	6	6	6	6	6	6	6	6
Peak100006	1	1	1	1	1	1	2	2	2	2	2	2
Peak1000062	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000063	6	6	6	6	6	6	6	6	6	6	6	6
Peak100007	1	1	1	1	1	1	2	2	2	2	2	2
Peak1000094	4	4	4	4	4	4	4	4	4	4	4	4
Peak1000135	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000136	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000158	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000159	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000181	6	6	6	3	3	3	3	3	3	3	6	6
Peak1000182	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000218	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000219	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000220	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000240	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000241	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000247	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000248	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000262	5	5	5	4	4	4	4	4	4	4	4	4
Peak1000263	5	5	5	5	5	5	5	5	5	3	3	3
Peak1000264	5	5	5	5	5	5	5	5	5	3	3	3
Peak1000287	5	4	5	5	5	5	5	5	5	5	5	5
Peak1000288	5	4	5	5	5	4	4	5	5	5	5	5
Peak1000303	5	5	5	5	5	5	5	5	5	5	5	5
Peak1000307	5	5	5	5	5	5	5	5	5	6	6	6
Peak1000316	5	5	5	5	5	5	5	5	5	5	6	6
Peak1000317	5	5	5	5	5	5	5	5	5	5	5	5
Peak1000327	5	5	5	5	5	5	5	5	5	5	5	5
Peak1000338	5	6	6	6	6	6	6	6	6	6	6	6
Peak1000339	5	5	5	5	6	6	6	6	6	6	6	6
Peak1000343	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000349	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000350	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000351	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000382	5	5	5	5	5	5	5	5	5	5	5	5
Peak1000383	5	5	5	5	5	5	5	5	5	5	5	5
Peak1000384	3	3	3	3	3	3	3	3	3	3	3	3
Peak100047	4	4	2	2	2	2	2	2	2	1	1	1
Peak1000480	6	6	6	6	6	6	6	6	6	6	6	6
Peak100050	4	2	2	2	2	2	2	2	1	1	2	2
Peak1000501	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000502	6	6	6	6	6	6	6	6	6	6	6	6
Peak100051	4	4	2	2	2	2	2	2	1	1	2	4
Peak1000534	4	4	5	5	4	4	4	5	4	4	5	5
