H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak100006	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak100007	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak1000181	6	6	6	3	3	3	3	3	3	3	6	6	2
Peak1000262	5	5	5	4	4	4	4	4	4	4	4	4	3
Peak1000263	5	5	5	5	5	5	5	5	5	3	3	3	6
Peak1000264	5	5	5	5	5	5	5	5	5	3	3	3	6
Peak1000287	5	4	5	5	5	5	5	5	5	5	5	5	6
Peak1000288	5	4	5	5	5	4	4	5	5	5	5	5	6
Peak1000307	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1000316	5	5	5	5	5	5	5	5	5	5	6	6	6
Peak1000338	5	6	6	6	6	6	6	6	6	6	6	6	6
Peak1000339	5	5	5	5	6	6	6	6	6	6	6	6	6
Peak100047	4	4	2	2	2	2	2	2	2	1	1	1	7
Peak100050	4	2	2	2	2	2	2	2	1	1	2	2	7
Peak100051	4	4	2	2	2	2	2	2	1	1	2	4	4
Peak1000534	4	4	5	5	4	4	4	5	4	4	5	5	3
Peak1000535	4	4	5	5	4	4	4	4	4	4	5	5	3
Peak100054	2	2	2	1	1	1	1	1	1	1	1	1	7
Peak1000631	2	4	4	4	4	4	4	4	4	2	2	2	3
Peak1000644	5	5	5	5	5	5	5	5	3	3	3	3	6
Peak1001010	6	3	6	6	6	6	6	6	6	6	5	5	2
Peak1001011	5	3	5	5	5	5	5	5	5	5	5	5	6
Peak1001053	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak1001054	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1001090	6	6	6	6	6	6	6	6	5	5	5	5	6
Peak1001157	4	4	4	4	4	4	4	4	4	5	5	4	3
Peak1001283	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1001538	6	6	3	3	3	6	6	6	6	6	6	6	4
Peak1001572	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak1001666	5	5	5	5	5	6	6	6	6	6	6	6	6
Peak1001688	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1001689	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1001691	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1002015	3	3	3	3	3	3	3	3	3	6	6	6	1
Peak1002016	3	3	3	3	3	3	3	3	6	6	6	6	2
Peak1002093	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1002161	3	6	6	6	6	6	6	6	6	6	6	6	7
Peak1002172	2	4	4	5	5	5	5	5	5	5	4	4	6
Peak1002259	5	4	4	4	4	4	4	4	5	5	5	5	3
Peak1002260	4	4	4	4	4	4	4	4	4	4	5	5	3
Peak1002321	4	4	4	4	4	4	4	4	4	4	5	5	3
Peak1002322	4	4	4	4	4	4	4	4	4	4	5	5	3
Peak1002460	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak1002461	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak1002494	4	4	4	4	4	4	4	5	5	5	5	5	3
Peak1002509	6	6	3	3	3	3	3	3	3	6	6	6	6
Peak100254	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1002569	4	4	2	2	2	2	2	2	2	2	4	4	4
Peak1002746	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1002747	1	4	4	4	4	4	4	4	4	4	4	4	3
Peak100281	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1002849	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1002872	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1002873	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1002901	2	4	5	5	5	5	5	5	5	4	4	4	6
Peak1002926	1	1	1	1	2	2	4	4	4	4	4	4	1
Peak1002931	2	2	4	4	4	5	5	5	5	4	4	4	6
Peak1002993	3	3	3	3	3	3	3	6	6	6	6	6	7
Peak1002994	3	3	3	3	3	6	6	6	6	6	6	6	3
Peak1002995	3	3	3	3	3	3	3	3	3	6	6	6	3
Peak1002996	3	3	3	3	3	3	3	3	3	3	6	6	3
Peak1003008	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1003009	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak1003095	4	5	5	5	5	5	5	5	5	5	5	4	6
Peak100315	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak100316	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak100321	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak100322	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1003307	4	4	4	4	4	5	5	5	5	5	5	5	3
Peak1003336	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak1003337	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1003352	2	2	4	4	4	4	5	5	5	5	5	4	6
Peak1003353	2	2	4	4	4	4	5	5	5	5	5	4	6
Peak1003365	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak100343	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1003719	5	5	5	5	5	5	5	5	5	5	6	6	6
Peak1003788	5	5	5	6	6	6	6	6	6	6	6	6	6
Peak1003790	5	5	5	6	6	6	6	6	6	6	6	6	6
Peak1003793	4	5	5	5	5	4	4	4	4	4	4	4	3
Peak1003794	4	5	5	5	5	4	4	4	4	4	4	4	6
Peak1003872	3	4	5	5	5	5	5	5	5	5	5	5	6
