gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000058056.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198131.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000185813.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000081721.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000148841.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149124.10 	0	1	0	0	0	0	0	1	0	1	1	1
ENSG00000172671.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000128731.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000008283.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000213780.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000164292.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000143774.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000182240.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000167378.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000269404.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000129038.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000167118.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000103876.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000112406.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000146701.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135587.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000005059.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000185950.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000122779.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000107036.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000100731.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000072736.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165898.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163312.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000204371.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106399.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163513.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000203818.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000128654.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000139132.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000109099.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000276234.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000162604.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000070950.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000107959.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186522.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000130508.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000214367.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000275066.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000187630.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000015153.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000160014.16 	1	1	1	1	1	1	1	1	1	1	1	1
