H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	0.02	0.04	0.03	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.04
ENSG00000000457	0.03	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05
ENSG00000000460	0.32	0.34	0.38	0.34	0.36	0.34	0.39	0.28	0.33	0.37	0.38	0.33
ENSG00000000938	0.05	0.05	0.04	0.04	0.04	0.04	0.05	0.05	0.21	0.05	0.03	0.03
ENSG00000000971	0.47	0.45	0.66	0.5	0.68	0.48	0.58	0.61	0.47	0.55	0.65	0.62
ENSG00000001036	0.3	0.32	0.39	0.36	0.33	0.42	0.41	0.26	0.27	0.28	0.31	0.36
ENSG00000001167	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.02	0.03
ENSG00000001461	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.05
ENSG00000001497	0.09	0.12	0.26	0.12	0.09	0.09	0.09	0.11	0.2	0.1	0.18	0.23
ENSG00000001617	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.03
ENSG00000001630	0.34	0.35	0.32	0.42	0.28	0.28	0.33	0.25	0.31	0.31	0.32	0.36
ENSG00000002549	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.06
ENSG00000002586	0.11	0.17	0.24	0.26	0.35	0.14	0.28	0.26	0.24	0.19	0.1	0.08
ENSG00000002745	0.08	0.07	0.07	0.05	0.05	0.06	0.07	0.06	0.06	0.07	0.08	0.07
ENSG00000002834	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.04	0.03	0.03	0.03	0.03
ENSG00000002919	0.33	0.31	0.38	0.35	0.3	0.35	0.35	0.34	0.32	0.41	0.4	0.39
ENSG00000003056	0.04	0.05	0.05	0.05	0.05	0.06	0.04	0.04	0.05	0.05	0.05	0.04
ENSG00000003147	0.07	0.07	0.08	0.07	0.07	0.09	0.07	0.06	0.08	0.06	0.14	0.18
ENSG00000003400	0.17	0.31	0.23	0.3	0.3	0.18	0.16	0.28	0.31	0.31	0.33	0.16
ENSG00000003402	0.09	0.12	0.08	0.09	0.1	0.09	0.09	0.07	0.07	0.06	0.05	0.11
ENSG00000003509	0.08	0.06	0.23	0.08	0.1	0.09	0.08	0.07	0.18	0.08	0.08	0.08
ENSG00000003989	0.11	0.12	0.18	0.12	0.11	0.1	0.15	0.1	0.09	0.1	0.15	0.14
ENSG00000004139	0.05	0.04	0.05	0.04	0.04	0.03	0.03	0.04	0.04	0.05	0.05	0.05
ENSG00000004142	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.03
ENSG00000004399	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.05
ENSG00000004455	0.08	0.1	0.08	0.09	0.08	0.09	0.1	0.09	0.08	0.07	0.06	0.06
ENSG00000004468	0.56	0.47	0.44	0.5	0.48	0.55	0.49	0.48	0.46	0.31	0.34	0.36
ENSG00000004478	0.05	0.05	0.05	0.06	0.04	0.04	0.04	0.05	0.06	0.05	0.06	0.05
ENSG00000004487	0.06	0.32	0.27	0.29	0.18	0.06	0.21	0.19	0.09	0.05	0.04	0.05
ENSG00000004534	0.08	0.07	0.08	0.07	0.09	0.07	0.07	0.07	0.06	0.07	0.06	0.07
ENSG00000004700	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.04	0.02	0.03	0.02	0.03
ENSG00000004766	0.08	0.11	0.13	0.08	0.22	0.14	0.25	0.09	0.11	0.08	0.23	0.29
ENSG00000004777	0.03	0.03	0.02	0.03	0.03	0.01	0.03	0.03	0.03	0.02	0.02	0.02
ENSG00000004779	0.06	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.05	0.05
ENSG00000004809	0.42	0.48	0.49	0.58	0.44	0.43	0.45	0.37	0.39	0.36	0.26	0.27
ENSG00000004864	0.07	0.07	0.08	0.07	0.07	0.07	0.07	0.06	0.07	0.07	0.08	0.07
ENSG00000004866	0.42	0.4	0.38	0.42	0.42	0.45	0.49	0.49	0.6	0.66	0.66	0.6
ENSG00000004897	0.24	0.36	0.28	0.35	0.28	0.31	0.25	0.08	0.07	0.2	0.06	0.08
ENSG00000004961	0.36	0.09	0.09	0.09	0.11	0.08	0.12	0.2	0.24	0.3	0.25	0.36
ENSG00000005007	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.05	0.04	0.04	0.04	0.04
ENSG00000005022	0.23	0.16	0.25	0.32	0.25	0.37	0.16	0.3	0.25	0.26	0.24	0.29
ENSG00000005059	0.45	0.43	0.5	0.39	0.32	0.48	0.34	0.41	0.33	0.41	0.39	0.48
ENSG00000005100	0.03	0.05	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.05	0.03
ENSG00000005156	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.03
ENSG00000005175	0.04	0.05	0.05	0.04	0.06	0.06	0.05	0.05	0.04	0.04	0.06	0.04
ENSG00000005194	1.1	0.84	0.89	0.97	0.86	0.81	0.85	0.87	0.89	0.97	0.76	0.84
ENSG00000005206	0.05	0.06	0.22	0.33	0.29	0.11	0.08	0.35	0.25	0.26	0.06	0.07
ENSG00000005238	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.03	0.02	0.04
ENSG00000005249	0.3	0.4	0.26	0.32	0.31	0.05	0.06	0.22	0.33	0.25	0.38	0.05
ENSG00000005302	0.14	0.11	0.11	0.24	0.23	0.14	0.13	0.32	0.18	0.38	0.4	0.35
ENSG00000005379	0.04	0.04	0.23	0.04	0.03	0.04	0.28	0.27	0.03	0.03	0.05	0.03
