ENSG00000147592.8 	H000;H006;H009;H018;H036
ENSG00000187546.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000196976.6 	H006;H036;H048;H072
ENSG00000139343.10 	H000;H003;H006;H009;H012;H018;H024;H048
ENSG00000103227.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000103671.9 	H006;H024;H036;H048
ENSG00000134108.12 	H006;H012
ENSG00000085511.19 	H006;H024
ENSG00000146592.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000197386.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000105556.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000123136.14 	H006
ENSG00000185760.15 	H003;H006;H024;H036;H072
ENSG00000051825.14 	H000;H006;H012
ENSG00000182141.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130653.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H168
ENSG00000136352.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000197472.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000134744.13 	H000
ENSG00000155659.14 	H048;H072
ENSG00000198363.15 	H009;H036;H048;H072
ENSG00000169991.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000179151.11 	H000;H006;H036
ENSG00000160588.9 	H006
ENSG00000111859.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000204256.12 	H000;H003;H006;H009;H018;H024;H036;H048;H072
ENSG00000070087.13 	H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000127663.14 	H000;H006
ENSG00000145428.14 	H000;H006;H009;H012;H018;H036;H048;H072
ENSG00000135018.13 	H003;H006;H009;H018;H024;H036;H048;H072
ENSG00000260548.1 	H048
ENSG00000143494.15 	H000;H036;H048
ENSG00000181315.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000153561.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000131653.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000142528.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000279956.1 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H168
ENSG00000170419.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
