ENSG00000142197.12 	H003;H006
ENSG00000187049.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000196976.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000141497.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000139343.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000103227.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000103335.19 	H048
ENSG00000197818.11 	H072;H120;H168
ENSG00000104361.9 	H036
ENSG00000146592.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000174791.10 	H048;H072;H120
ENSG00000154222.14 	H006;H009;H036;H048;H120
ENSG00000185760.15 	H048;H072;H120;H168
ENSG00000011105.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130332.14 	H072;H120;H168
ENSG00000185198.11 	H000;H003;H006;H009;H012;H048;H072;H120;H168
ENSG00000130653.15 	H000;H003;H006;H009;H018;H024;H036;H048;H072;H120
ENSG00000121769.7 	H000;H012;H024;H048
ENSG00000155659.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000198363.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000068028.17 	H000;H003;H006;H009;H012;H018;H024;H036
ENSG00000115884.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000167193.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160588.9 	H009;H012
ENSG00000111859.16 	H006;H012
ENSG00000151376.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000070087.13 	H006;H009;H024;H036;H048;H072;H120;H168
ENSG00000127663.14 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120
ENSG00000145428.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000147231.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000143494.15 	H048;H072;H120;H168
ENSG00000049656.13 	H072;H120;H168
ENSG00000241794.1 	H120;H168
ENSG00000167889.12 	H048;H072;H120;H168
ENSG00000163110.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000185158.12 	H012;H018;H048
ENSG00000279956.1 	H048;H120;H168
ENSG00000170419.10 	H036
ENSG00000175040.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000112419.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000113504.20 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000163885.11 	H009;H036;H048;H072;H120;H168
ENSG00000183434.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000167641.10 	H009;H036;H048;H072;H120;H168
ENSG00000187714.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000119487.16 	H006;H009;H012;H024;H036;H048
ENSG00000245848.2 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000004478.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000147889.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000117528.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000134324.11 	H120;H168
ENSG00000128789.20 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000175782.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000186522.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000131174.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000187266.13 	H000;H003;H006;H009;H012;H018;H036;H048;H072
ENSG00000060762.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000148834.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000138378.17 	H003;H006;H009;H012;H024;H036;H048
ENSG00000179833.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000184083.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000139629.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000165312.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000086506.2 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000151503.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000124275.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000182872.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000260314.2 	H006
ENSG00000102871.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000092758.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000128604.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000181264.8 	H120;H168
ENSG00000182287.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000106333.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000137166.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000184634.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000171453.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000178394.4 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000133135.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160953.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000215301.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177981.10 	H000;H003;H009;H012;H024;H036;H048;H072
ENSG00000134595.7 	H000;H006;H009;H024;H036;H048;H072
ENSG00000187239.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000168502.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000128641.18 	H168
ENSG00000144711.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000112365.4 	H036
ENSG00000164362.18 	H036;H048;H072;H120;H168
ENSG00000022567.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000021355.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000196739.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000139436.20 	H024
ENSG00000111817.16 	H003;H006;H009;H012;H018
ENSG00000158526.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160256.12 	H036;H048;H072;H120;H168
ENSG00000131370.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000197457.9 	H168
ENSG00000187210.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000182712.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000123329.17 	H000
ENSG00000110665.11 	H003;H009;H024
ENSG00000106266.8 	H072;H120
ENSG00000104447.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000189023.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000091490.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000153208.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000157087.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000125637.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000087460.23 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000173805.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000140948.11 	H036;H048;H072;H120;H168
ENSG00000142347.16 	H000;H003;H006;H012
ENSG00000183779.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000204612.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000021762.19 	H012;H048;H072;H120;H168
ENSG00000172575.11 	H048;H072;H120;H168
ENSG00000112333.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000025708.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000204634.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000235608.1 	H006;H009;H024;H048
ENSG00000124942.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000116741.7 	H009
ENSG00000132481.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000159335.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000015413.9 	H009;H048;H072;H120;H168
ENSG00000144591.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000102098.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130340.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000129084.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000150551.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177706.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000139644.12 	H003;H009;H036;H048
ENSG00000089116.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000124588.19 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000165370.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000180772.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000106038.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000005471.15 	H120;H168
ENSG00000170382.11 	H120;H168
ENSG00000126814.6 	H000;H003;H006;H009;H012;H024;H036;H048;H072
ENSG00000280603.1 	H009;H012
ENSG00000114861.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000109255.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000243449.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130433.7 	H009;H024;H036;H048;H072;H120
ENSG00000179604.9 	H000
ENSG00000139410.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000101916.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000171004.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000185477.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000087253.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000082781.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000214193.9 	H003;H006;H009;H012;H024;H036
ENSG00000088826.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000188408.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000015133.18 	H168
ENSG00000138119.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000196730.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000171298.12 	H072;H120
ENSG00000136156.12 	H009;H048
ENSG00000085063.14 	H048;H072
ENSG00000157881.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000205362.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000168675.18 	H120;H168
ENSG00000167967.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000204021.3 	H168
ENSG00000166619.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000142949.16 	H036;H048;H072;H120;H168
ENSG00000165215.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000012983.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000150457.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000187608.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000113140.10 	H009;H048
ENSG00000163874.8 	H000;H006;H012;H024
ENSG00000059122.16 	H120;H168
ENSG00000050344.8 	H048;H120
ENSG00000102390.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000254647.6 	H048
ENSG00000148120.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000250510.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000127418.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000187601.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000141664.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000102858.12 	H000;H003;H006;H009
ENSG00000185515.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000101311.15 	H000;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000182170.3 	H048;H072;H120
ENSG00000105697.7 	H003;H009
ENSG00000174851.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000196189.12 	H000
ENSG00000156504.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000076770.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000176248.8 	H072;H120;H168
ENSG00000157554.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000166073.8 	H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000088320.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000070882.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000269335.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000154764.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000062822.12 	H168
ENSG00000148411.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000076706.14 	H048;H072;H120;H168
ENSG00000065154.11 	H168
ENSG00000102317.17 	H006;H009;H018;H036;H048
ENSG00000138449.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000172780.16 	H120
ENSG00000106012.17 	H036;H048;H072;H120;H168
ENSG00000121310.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000086289.11 	H000;H003;H009;H012;H036;H048;H072;H120;H168
ENSG00000170525.18 	H000;H003;H006;H009;H012;H024;H036;H048;H072
ENSG00000160712.12 	H000;H003;H006
ENSG00000108474.16 	H000;H003;H006;H009;H018;H024;H036;H048;H072;H120;H168
ENSG00000101347.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000111275.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000158473.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000067221.13 	H006;H009;H012;H036;H048
ENSG00000145284.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000119919.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000163126.14 	H000;H003;H006;H012;H018;H024;H036;H048;H120
ENSG00000160294.10 	H000
ENSG00000250317.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000057657.14 	H000;H003;H006;H009;H012;H018;H024
ENSG00000184428.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000122877.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000103942.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130489.12 	H000;H003;H006;H009;H012;H024
ENSG00000197208.5 	H000;H003;H006;H009;H012
ENSG00000167614.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000178752.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000187922.13 	H036;H048;H072;H120;H168
ENSG00000108854.15 	H024
ENSG00000104974.10 	H000;H006;H024;H036;H072;H168
ENSG00000116017.10 	H012
ENSG00000129757.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000176956.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000102312.20 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000132185.16 	H048;H072;H120;H168
ENSG00000108828.15 	H009;H024;H036;H048;H072;H120;H168
ENSG00000140382.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000158869.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000149557.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000138678.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000092964.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000101190.12 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000125813.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000111962.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000101210.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000155229.20 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000172794.19 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000279849.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000100865.14 	H072;H120
ENSG00000180758.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000116096.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000165392.9 	H009;H036;H048;H072;H120;H168
ENSG00000168813.16 	H048;H072;H120;H168
ENSG00000171970.12 	H012
ENSG00000186918.13 	H000;H006;H012;H024;H036;H048;H072;H120
ENSG00000064201.15 	H003;H009;H024;H120;H168
ENSG00000066923.17 	H009
ENSG00000174740.7 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000077782.19 	H048;H072
ENSG00000151948.11 	H036;H048;H072;H120;H168
ENSG00000145685.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000114631.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160883.10 	H000;H003;H006;H009;H024;H036;H048;H072
ENSG00000204176.13 	H006;H009;H024;H036;H048;H168
ENSG00000196781.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000137504.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000181045.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000277443.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000197122.11 	H009;H018
ENSG00000083223.17 	H000;H003;H006;H009;H012;H024;H036;H048
ENSG00000175895.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177425.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000198964.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
