gene_id	H000	H003	H006	H009	H036	H048	H072	H012	H018	H024	H120	H168
ENSG00000198131.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000110900.14 	1	0	1	0	0	1	0	0	0	0	0	1
ENSG00000081721.11 	0	0	0	1	1	1	1	0	0	0	1	1
ENSG00000146242.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172671.19 	1	0	1	1	1	1	1	1	1	1	1	0
ENSG00000128731.15 	0	0	1	0	1	1	1	0	0	0	0	0
ENSG00000164292.12 	1	1	1	1	1	1	1	0	1	0	1	1
ENSG00000182240.15 	1	1	1	1	1	1	0	1	1	1	1	1
ENSG00000269404.6 	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000112406.4 	0	0	0	1	1	1	1	0	0	0	0	0
ENSG00000198054.11 	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000005059.15 	1	1	1	1	1	1	1	1	1	0	1	1
ENSG00000122779.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000107036.11 	1	1	1	1	1	1	1	1	1	1	0	0
ENSG00000100731.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106399.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000203818.7 	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000139132.14 	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000109099.13 	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000107959.15 	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000186522.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000275066.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000160014.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172322.13 	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000127946.16 	1	0	0	1	1	1	1	1	0	0	0	0
ENSG00000114331.13 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000187690.3 	1	1	1	1	1	1	1	1	1	0	1	1
ENSG00000206562.11 	1	0	1	1	1	1	1	0	1	1	1	0
ENSG00000180900.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188313.12 	0	0	0	0	0	1	1	0	1	0	0	0
ENSG00000163812.13 	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000108439.9 	0	0	1	1	1	1	1	1	1	0	0	0
ENSG00000182782.7 	0	0	0	0	0	0	1	0	0	0	0	0
