H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.43	0.45	0.44	0.46	0.47	0.55	0.51	0.42	0.31	0.34	0.36	0.63
ENSG00000000419	12.81	16.84	16.76	14.6	14.05	12.13	13.59	13.36	12.23	15.22	19.27	15.54
ENSG00000000457	15.97	17.35	17.75	16.39	16.07	16.9	17.3	16.81	16.08	22.15	22.68	22.51
ENSG00000000460	6.75	11.05	10.58	11.43	11.32	10.94	11.24	11.57	10.83	10.15	9.9	9.53
ENSG00000000938	5.3	4.51	3.78	5.45	5.87	5.97	7.29	7.89	10.12	9.95	9.26	8.87
ENSG00000000971	0.73	3.6	2.68	2.12	3.03	3.23	3.77	2.99	3.93	3.13	2.56	3.89
ENSG00000001036	4.7	0.86	3.61	2.72	2.55	3.47	3.34	3.37	4.36	4.02	6.42	5.5
ENSG00000001084	10.7	12.69	15.5	11.97	12.93	12.94	11.57	11.8	13.03	9.41	11.32	8.44
ENSG00000001167	15.16	13.88	13.75	16.5	16.86	16.96	16.03	15.97	14.78	15.8	17	16.91
ENSG00000001461	1.36	2.62	2.8	2.72	2.59	2.61	2.16	1.67	1.2	2.12	1.08	1.16
ENSG00000001497	7.78	10.98	9.76	6.84	8.69	8.46	7.17	8.26	6.42	7.41	6.26	7.22
ENSG00000001617	11.32	8.09	6.77	6.4	6.73	5.67	7.47	6.99	8.04	6.41	5.7	1.86
ENSG00000001629	9.09	9.98	9.98	10.39	11.51	11.58	9.53	13.52	12.56	11.34	9.44	16.37
ENSG00000001630	8.07	8.89	9.89	11.01	11.53	8.34	9.25	8.37	10.13	10.92	10.04	11.83
ENSG00000001631	11.09	13.78	12.62	12.66	15.67	14.42	11.41	17.25	15.17	14.49	11.26	18.09
ENSG00000002016	13.49	9.23	12.78	12.21	11.19	11.83	13.4	15	13.89	12.47	16.24	14.69
ENSG00000002330	12.85	12	12.07	13.4	12.9	12.83	11.94	9.83	11.23	14.02	12.31	12.07
ENSG00000002549	7.7	8.9	10.19	11.54	10.84	11.62	12.74	12.17	14.99	15.72	11.48	12.52
ENSG00000002586	17.03	20.93	13.07	17.65	16.9	19.49	15.39	15.42	14.97	15.34	11.97	11.27
ENSG00000002745	10.88	6.62	5.76	5.79	6.32	8.1	9.77	8.07	5.84	3.94	3.4	2.01
ENSG00000002822	20.46	11.14	8.96	11.26	9.45	8.56	8.96	8.99	9.26	10.26	11.43	9.76
ENSG00000002834	7.39	7.27	8.86	11.56	11.4	10.76	10.07	9.36	8.45	9.48	8.39	12.73
ENSG00000002919	7.94	5.68	6.83	8.1	6.9	6.44	5.79	6.47	6.97	6.98	8.01	8.08
ENSG00000003056	9	8.96	10.2	11.63	9.82	11.86	13.53	13.98	13.78	15.69	15.29	11.63
ENSG00000003147	1.44	1.17	0.87	0.74	2.44	2.68	1.05	2.07	2.39	4.34	3.93	4.51
ENSG00000003393	4.93	6.67	5.86	7.63	6.78	6.95	7.73	6.66	7.22	10.55	10.93	7.43
ENSG00000003400	4.48	4.37	4.31	4.75	4.49	4.51	5.88	5.19	4.91	7.4	6.4	6.18
ENSG00000003402	25.93	20.51	23.53	26.23	25.1	28.6	27.2	29.47	29.18	28.79	20.61	15.99
ENSG00000003509	9.86	11.08	8.69	11.14	10.89	8.92	12.98	10.66	10.14	12.04	9.84	9.67
ENSG00000003756	15.81	12.91	20.03	14.97	16.64	15.45	11.36	13.45	11.07	14.07	16.94	21.02
ENSG00000003989	6.13	5.96	5.41	6.18	6.03	6.62	5.88	5.78	5.8	4.97	2.58	5.3
ENSG00000004059	9.12	12.29	9.87	8.74	9.56	9.82	8.15	12.3	8.41	10.05	10.43	13.06
ENSG00000004139	5.85	8.7	9.29	7.45	6.6	7.2	6.2	4.91	3.38	2.87	2.49	2.28
ENSG00000004142	13.18	12.46	14.71	12.22	13.24	10.68	13.08	11.34	11.35	11.73	11.71	10.35
ENSG00000004399	23.53	10.01	15.81	19.33	20.92	15.77	17.66	17.86	18.2	15.08	11.46	14.57
ENSG00000004455	10.18	9.59	8.57	8.09	8.07	8.44	8.66	9.08	7.7	7.11	7.22	6.37
ENSG00000004468	11.57	16.58	12.64	11.44	11.24	10.55	10.51	7.15	6.54	4.63	3.57	1.71
ENSG00000004478	7.68	9.31	9.14	8.4	5.64	6.84	8.12	6.11	4.72	6.37	6.39	6.46
ENSG00000004487	17.94	20.55	18.23	17.78	20.03	21	19.37	17.13	17.02	15.15	9.76	12.57
ENSG00000004534	13.25	10.3	12.86	11.85	12.35	10.43	7.47	9.27	9.91	10.53	11.46	8.96
ENSG00000004700	7.19	9.07	10.78	11.05	11.14	9.85	11.2	11.98	10.67	11.18	11.07	10.34
ENSG00000004766	4.52	4.03	4.37	4.23	3.57	4.01	5.09	3.83	4.04	5.29	5.01	4.88
ENSG00000004777	6.01	6.94	6.05	4.4	5.74	5.83	5.52	5.38	4.27	2.63	1.4	0.58
ENSG00000004779	8.45	11.42	10	10.5	9.85	6.88	6.23	7.06	7.24	7.8	6.92	9.41
ENSG00000004809	22.58	30.1	26.51	23.19	24.75	22.47	19.85	19.6	15.63	8.77	7.07	6.98
ENSG00000004864	14.89	13.49	13.08	13.62	13.73	13.82	15.55	15.77	15.2	18.28	20.5	13.25
