H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.57	0.56	0.59	0.54	0.58	0.64	0.64	0.5	0.53	0.51	0.53	0.54
ENSG00000000419	27.58	24.36	23.52	24.07	23.52	22.48	25.73	25.04	21.87	21.75	22.35	24.19
ENSG00000000457	19.15	25.06	23.76	22.04	21.63	21.47	22.6	19.21	21.99	23.51	26.13	22.03
ENSG00000000460	19.83	25.19	24.88	26.27	25.68	24.3	23.76	22.94	21.12	21.91	23.72	24.22
ENSG00000000938	7.05	7.45	6.81	7.21	7.14	7.12	7.73	8.49	10.05	19.24	23.38	20.23
ENSG00000000971	0.67	0.72	0.54	3	0.98	3.22	4.71	2.84	3.91	4.59	6.27	4.98
ENSG00000001036	6.95	6.64	7.19	5.12	5.36	5.83	6.71	5.41	6.59	7.33	6.23	5.94
ENSG00000001084	22.78	22.26	27.81	28.39	24.12	26.87	26.46	21.28	22.75	21.15	24.51	25.13
ENSG00000001167	24.37	25.55	24.58	25.33	25.33	23.83	23.77	25.39	22.48	26.51	20.63	22.17
ENSG00000001461	11.77	15.05	13.11	14.13	15	14.32	15.45	13.85	15.78	17.81	15.47	14.33
ENSG00000001497	15.34	23.04	19.62	20.09	18.94	21.59	19.25	21.97	17.46	16.96	14.99	15.42
ENSG00000001617	24.17	26.51	21.38	26.49	16.58	15.99	18.08	19.88	16.65	16.11	21.52	25.38
ENSG00000001629	27.34	25.11	24.58	24.11	23.49	23.83	21.97	26.18	25.26	22.43	25.25	23.81
ENSG00000001630	26.27	21.55	25.32	27.75	27.42	23.65	27.12	23.63	22.94	25.37	26.45	29.96
ENSG00000001631	31.33	27.62	27.17	24.92	25.97	24.91	24.36	29.07	28.23	23.68	26.96	28.47
ENSG00000002016	21.87	19.84	22.48	20.03	22.18	19.57	18.65	22.03	21.02	18.61	28.9	20.81
ENSG00000002330	24.67	21.89	27.18	21.58	21.98	22.25	19.39	21.04	27.42	24.4	21.99	23.45
