H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.13	0.12	0.15	0.07	0.06	0.09	0.07	0.1	0.05	0.08	0.08	0.16
ENSG00000000419	0.08	0.29	0.17	0.39	0.2	0.13	0.19	0.26	0.25	0.31	0.24	1.95
ENSG00000000457	0.24	0.08	0.17	0.12	0.21	0.1	0.22	0.22	0.21	0.33	0.36	0.32
ENSG00000000460	0.19	0.19	0.16	0.11	0.09	0.18	0.12	0.18	0.14	0.14	0.13	0.17
ENSG00000000938	0.39	0.31	0.28	2.58	4.29	4.23	6.93	4.63	7.89	5.87	4.11	3.49
ENSG00000000971	0.1	0.16	0.06	0.13	0.11	0.12	0.11	0.12	0.08	0.13	0.14	0.29
ENSG00000001036	0.24	0.09	0.2	0.2	0.19	0.12	0.27	0.33	0.18	0.29	0.1	0.62
ENSG00000001084	0.09	0.21	0.09	0.08	0.1	0.1	0.19	0.16	0.09	0.11	0.24	0.3
ENSG00000001167	0.63	3.79	1.67	2.11	1.9	4.16	3.01	1.23	2.49	2.94	2.86	2.75
ENSG00000001461	0.28	5.27	0.35	0.43	3.32	0.78	0.59	3.11	3.17	8.32	6.18	7.07
ENSG00000001497	0.12	0.1	0.15	0.12	0.22	0.16	0.1	0.09	0.12	0.12	0.15	0.11
ENSG00000001617	0.83	0.24	0.32	0.24	0.26	0.29	0.25	0.26	0.29	0.13	0.08	0.12
ENSG00000001629	0.24	0.24	0.25	0.15	0.11	0.2	0.32	0.2	0.18	0.2	3.15	0.55
ENSG00000001630	0.16	0.11	0.09	0.22	0.14	0.18	0.16	0.09	0.14	0.1	0.18	0.3
ENSG00000001631	0.24	0.21	0.15	0.23	0.2	0.1	0.16	0.35	0.22	0.17	0.22	0.25
ENSG00000002016	3.39	3.47	4.68	1.89	1.04	3.26	2.15	4.39	2.48	2.31	2.21	0.45
ENSG00000002330	0.18	0.12	0.17	0.23	0.18	0.12	0.13	0.17	0.17	0.12	0.17	0.08
ENSG00000002549	0.15	0.21	0.33	0.13	0.26	0.25	0.13	0.16	0.31	0.33	0.45	0.2
ENSG00000002586	0.38	0.2	0.13	0.16	0.16	0.25	0.2	0.2	0.18	0.1	0.15	0.26
ENSG00000002745	27.55	6.73	4.75	3.98	6.3	5.74	3.28	3.27	2.4	0.76	0.21	1.07
ENSG00000002822	12.13	14.04	19.34	18.24	17.73	17.79	19.44	24.61	22.12	38.95	46.33	57.38
ENSG00000002834	0.72	2.66	0.46	2.48	2.89	2.93	2.64	1.78	2.73	2.05	2.3	0.19
ENSG00000002919	36.02	33.01	34.58	29.88	29.26	29.32	26.28	29.55	24.49	10.01	7.48	13.2
ENSG00000003056	0.12	0.09	0.11	0.13	0.14	0.1	0.14	0.14	0.18	0.14	0.18	0.32
ENSG00000003147	0.1	0.08	0.1	0.04	0.07	0.11	0.12	0.09	0.1	0.1	0.13	0.41
ENSG00000003393	0.09	0.1	0.06	0.15	0.1	0.16	0.13	0.15	0.1	0.09	0.72	0.18
ENSG00000003400	0.37	0.75	0.31	0.3	0.27	0.53	0.24	3.19	0.44	2.98	0.54	0.78
ENSG00000003402	0.23	0.18	0.26	0.26	0.3	0.29	0.17	0.21	0.35	0.2	0.19	0.38
ENSG00000003509	0.26	0.11	0.17	0.2	0.18	0.11	0.26	0.22	0.2	0.17	0.22	0.32
ENSG00000003756	0.18	0.11	0.1	0.17	0.18	0.15	0.17	0.11	0.07	0.08	0.05	0.05
ENSG00000003989	0.09	0.14	0.19	0.16	0.15	0.25	0.12	0.2	0.13	0.27	0.13	0.17
ENSG00000004059	20.96	35.85	26.2	21.72	19.88	21.53	21.34	24.13	26.43	27.48	42.82	43.79
ENSG00000004139	0.09	0.27	0.11	0.28	0.12	0.11	0.12	0.11	0.23	0.21	0.17	0.1
ENSG00000004142	0.08	0.25	0.12	0.28	0.12	0.11	0.12	0.11	0.22	0.22	0.17	0.1
ENSG00000004399	7.51	2.08	2.77	2.42	2.66	2.29	2.82	2.62	3.07	5.02	5.6	5.12
ENSG00000004455	0.17	0.19	0.21	0.22	0.17	0.12	0.21	0.17	0.2	0.13	0.1	0.11
ENSG00000004468	2.9	3.19	3.85	0.54	0.75	1.11	0.61	0.25	0.15	0.21	0.32	0.3
ENSG00000004478	0.15	0.12	0.14	0.08	0.12	0.11	0.13	0.14	0.13	0.13	0.14	0.17
ENSG00000004487	0.11	0.34	0.35	0.24	0.23	0.33	0.2	0.38	0.58	0.12	0.14	0.11
ENSG00000004534	0.48	0.53	0.46	0.29	0.39	0.78	0.31	0.68	1.84	0.58	0.12	0.14
ENSG00000004700	0.14	0.22	0.13	0.1	0.18	0.23	0.13	0.19	0.15	0.18	0.82	0.38
ENSG00000004766	0.16	0.21	0.1	0.21	0.1	0.1	0.12	0.09	0.18	0.14	0.07	0.23
ENSG00000004777	0.53	0.77	1.01	0.38	0.29	0.46	0.26	0.26	0.28	0.1	0.1	0.15
ENSG00000004779	0.25	0.23	0.14	0.23	0.22	0.11	0.22	0.27	0.2	0.3	0.16	0.22
ENSG00000004809	0.93	4.14	0.6	1.36	2.01	0.6	0.5	0.4	0.35	0.18	0.25	0.38
ENSG00000004864	0.08	0.26	0.41	2.81	2.9	6.06	5.8	5.71	7.23	9.59	9.95	10.48
ENSG00000004866	0.12	0.12	0.16	0.19	0.18	0.15	0.07	0.29	0.14	0.14	0.12	0.14
ENSG00000004897	8.88	1.56	0.33	0.29	0.24	0.12	0.18	0.06	0.16	0.3	0.19	0.24
ENSG00000004961	0.09	0.09	0.19	0.08	0.12	0.11	0.12	0.1	0.12	0.1	0.11	0.14
ENSG00000004975	93.5	47.82	59.56	35.95	45.69	50.49	43.22	53.22	48.6	31.73	55.33	62.91
ENSG00000005007	0.1	0.08	0.07	0.08	0.12	0.07	0.08	0.06	0.1	0.06	0.06	0.08
ENSG00000005022	0.21	0.15	0.16	0.14	0.15	0.2	0.1	0.09	0.13	0.2	0.21	0.23
ENSG00000005059	0.28	0.08	0.26	0.1	0.21	0.27	0.1	0.15	0.16	0.25	0.18	0.13
ENSG00000005073	0.02	0.02	0.09	0.06	0.04	0.1	0.06	0.03	0.09	0.07	0.03	0.08
ENSG00000005075	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02
ENSG00000005100	0.23	0.19	0.12	0.2	0.18	0.29	0.22	0.13	0.2	0.28	0.35	1.6
ENSG00000005156	0.24	0.17	0.15	0.14	0.09	0.17	0.14	0.1	0.12	0.16	0.22	0.13
ENSG00000005175	0.3	0.31	0.42	0.33	0.57	1.28	2.72	2.17	3.64	12.17	12.51	12.42
ENSG00000005194	0.35	0.22	0.41	0.33	0.22	0.24	0.17	0.24	0.16	0.16	0.16	0.27
ENSG00000005206	41.89	38.07	24.93	26.38	17.78	8.83	7.83	3.54	2.43	0.65	0.73	0.21
ENSG00000005238	0.21	0.1	0.23	0.14	0.16	0.25	0.16	0.33	0.27	0.16	0.11	0.19
ENSG00000005249	0.24	1.1	0.25	0.36	0.31	0.34	0.23	0.35	0.24	0.24	0.17	0.17
ENSG00000005302	0.11	0.06	0.13	0.09	0.09	0.03	0.08	0.11	0.11	0.09	0.14	0.24
ENSG00000005339	0.12	0.12	0.21	0.18	0.28	0.12	0.13	0.23	0.1	0.09	0.14	0.28
ENSG00000005379	179.02	103.14	151.52	167.58	160.65	152.99	164.78	153.33	137.12	88.73	73.98	109.49
ENSG00000005381	17.41	46.75	42.47	66.23	92.93	109.9	115.87	76.82	49.57	8.1	3.06	1.08
ENSG00000005436	0.17	0.18	0.15	0.15	0.12	0.17	0.09	0.18	0.19	0.26	0.22	0.15
ENSG00000005448	0.13	0.1	0.28	0.15	0.23	0.18	0.32	0.62	3.04	0.54	0.16	0.11
ENSG00000005469	0.12	0.18	0.14	0.15	0.2	0.29	0.21	0.16	0.14	0.2	0.18	0.3
ENSG00000005471	0.24	0.46	0.12	0.3	0.34	0.16	0.21	0.33	0.24	0.22	0.24	0.21
ENSG00000005483	64.65	41.05	31.89	43.26	43.66	50.04	48.41	40.08	41.48	61.86	84.31	83.83
ENSG00000005486	0.46	6.37	11.52	10.71	8.69	7.65	5.02	3.85	3.9	7.61	7.37	9.95
ENSG00000005700	0.06	0.12	0.06	0.11	0.19	0.18	0.22	0.19	0.13	0.06	0.12	0.05
ENSG00000005801	0.1	0.05	0.08	0.06	0.08	0.14	0.11	0.16	0.13	0.14	0.15	0.13
ENSG00000005810	60.26	38.41	54.62	61.75	68.38	73.08	74.57	62.28	64.5	68.61	27.74	29.81
ENSG00000005812	0.11	0.09	0.1	0.11	0.13	0.15	0.18	0.12	0.17	0.57	0.68	0.33
ENSG00000005844	0.09	3.54	4.49	0.71	2.56	3.42	4.85	4.68	6.68	5.21	8.06	2.19
ENSG00000005882	0.12	0.16	0.21	0.14	0.17	0.07	0.15	0.27	0.31	0.12	0.33	0.15
ENSG00000005889	9.22	3.38	4.32	5.79	9.93	8.27	9.7	6.57	12.61	11.22	11.79	12.52
ENSG00000005893	0.16	0.21	0.25	0.2	0.16	0.17	0.16	0.18	0.22	0.21	0.13	0.39
ENSG00000006007	32.1	23.28	27.86	28.12	30.67	30.87	28.77	29.14	38	31.79	13.95	8.89
ENSG00000006015	1.4	1.05	1.42	4.02	4.53	6	10.75	9.52	12.95	16.47	11.57	8.15
ENSG00000006025	0.2	0.16	0.32	0.23	0.16	0.2	0.18	0.26	0.16	0.19	0.17	0.08
ENSG00000006042	0.05	0.13	0.09	0.05	0.05	0.09	0.09	0.07	0.08	0.18	0.06	0.11
ENSG00000006059	0.13	0.14	0.08	0.13	0.12	0.25	0.47	1.39	1.72	0.35	0.31	0.34
ENSG00000006062	0.67	0.36	0.23	0.3	0.36	0.3	0.34	0.24	0.54	2.39	0.32	0.94
ENSG00000006118	0.58	0.53	0.74	0.49	0.55	0.73	0.64	2.33	3.94	2.51	0.74	0.17
ENSG00000006125	0.27	0.87	0.42	0.36	0.3	0.33	0.24	0.32	0.19	0.21	0.36	0.96
ENSG00000006128	0.2	0.16	0.06	0.08	0.14	0.22	0.05	0.09	0.08	0.18	0.23	0.26
ENSG00000006194	0.2	0.19	0.22	0.43	0.53	0.86	2.5	3.39	4.18	4.12	3.07	5.3
ENSG00000006282	4.31	0.25	0.35	0.41	0.66	0.42	0.42	0.28	0.26	0.09	0.13	0.08
ENSG00000006327	0.12	0.11	0.16	0.11	0.11	0.11	0.11	0.13	0.13	0.08	0.15	0.07
ENSG00000006377	0.09	0.09	0.13	0.08	0.07	0.1	0.07	0.09	0.12	0.11	0.22	0.18
ENSG00000006451	0.17	0.12	0.12	0.21	0.26	0.24	0.44	0.27	1.17	8.88	19.67	18.94
ENSG00000006459	0.07	0.08	0.09	0.13	0.18	0.16	0.16	0.23	0.2	2.08	0.47	0.23
ENSG00000006530	0.13	0.22	0.18	0.16	0.09	0.19	0.15	0.08	0.21	0.16	0.13	0.14
ENSG00000006534	29.7	21.65	22	19.98	22.31	34.68	15.14	34.98	24.66	18.79	16.38	11.02
ENSG00000006576	0.13	0.19	0.18	0.22	0.28	0.29	0.24	0.21	0.28	0.36	1.14	1.31
ENSG00000006607	0.7	0.29	0.26	0.3	0.22	0.29	0.28	0.21	0.25	0.22	0.36	2.08
ENSG00000006625	0.16	0.13	0.15	0.1	0.15	0.09	0.13	0.12	0.14	0.12	0.16	0.11
ENSG00000006634	0.19	0.36	0.44	0.32	2.04	2.82	4.6	6.44	9.47	19.88	19.1	13.6
ENSG00000006652	0.81	13.19	8.82	13.39	11.94	13.43	7.13	5.27	3.55	0.46	0.23	0.29
ENSG00000006695	0.13	0.08	0.12	0.11	0.12	0.12	0.09	0.09	0.06	0.13	0.17	0.14
ENSG00000006704	0.78	0.39	0.37	0.38	0.32	0.27	0.13	2.16	0.22	0.17	0.15	0.16
ENSG00000006712	0.91	0.97	1.79	2.06	3.16	1.26	1.16	2.03	3.01	3.86	3.59	8.08
ENSG00000006715	3.52	0.17	0.11	0.09	0.12	0.16	0.13	0.07	0.08	0.1	0.15	0.18
ENSG00000006744	0.25	0.15	0.11	0.11	0.14	0.15	0.11	0.15	0.14	0.09	0.17	0.14
ENSG00000006756	0.46	1.52	0.95	0.46	0.37	0.54	0.61	0.68	0.49	0.28	0.15	0.18
ENSG00000006831	0.2	0.25	0.41	0.3	0.33	0.8	0.4	0.31	0.23	0.3	0.21	0.4
ENSG00000007038	2.63	0.31	0.38	0.99	1.04	0.17	0.4	0.3	1.02	0.22	0.14	0.1
ENSG00000007047	62.14	26.84	42.08	43.76	42.97	37.18	45.43	51.26	48.99	40.46	22.06	23.26
ENSG00000007080	0.14	0.12	0.15	0.14	0.11	0.13	0.1	0.16	0.2	0.1	0.12	0.12
ENSG00000007129	33.89	16.88	19.96	34.09	35.67	36.78	43.39	31.93	34.2	36.43	29.16	36.13
ENSG00000007168	0.21	0.13	0.2	0.16	0.22	0.17	0.13	0.22	0.15	0.11	0.09	0.7
ENSG00000007202	0.24	0.34	0.46	1.39	0.27	0.23	0.35	0.29	0.36	0.31	0.41	0.16
ENSG00000007237	0.44	0.23	0.29	0.43	0.37	0.32	0.3	0.33	0.33	0.27	0.13	0.1
ENSG00000007255	3.28	3.13	2.24	2.37	1.47	2.18	1.49	1.71	1.23	1.82	0.39	0.48
ENSG00000007312	4.85	0.55	0.36	0.43	0.45	0.53	2.08	0.52	0.51	0.54	0.2	0.14
ENSG00000007341	0.25	0.17	0.29	0.33	0.19	0.2	0.12	0.24	0.18	1.74	0.97	0.28
ENSG00000007376	0.15	0.23	0.29	0.25	0.2	0.12	0.22	0.21	0.3	0.11	0.12	0.07
ENSG00000007384	44.09	60.12	57.12	45.44	44.29	44.55	44.82	28.38	28.5	29.09	50.33	49.51
ENSG00000007392	8.92	28.03	18.31	21.03	13.44	14.68	14.06	13.53	13.54	23.28	24.2	17.65
ENSG00000007520	0.22	0.28	0.21	0.22	0.18	0.16	0.19	0.24	0.36	0.29	0.27	0.33
ENSG00000007541	2.62	0.1	0.12	0.12	0.11	0.07	0.14	0.12	0.1	0.06	0.09	0.04
ENSG00000007545	3.07	4.21	3.19	4.71	2.63	5.25	2.5	1.67	3.39	7.21	5.18	4.79
ENSG00000007923	0.14	0.18	0.23	0.17	0.19	0.08	0.12	0.14	0.14	0.1	0.09	0.09
ENSG00000007944	0.25	0.21	0.14	0.09	0.15	0.22	0.15	0.12	0.14	0.12	0.2	0.28
ENSG00000007968	11.18	15.34	12.06	23.13	19.3	14.06	15.25	15.7	15.39	10.49	9.26	8.54
ENSG00000008018	0.32	0.2	0.56	1.54	0.39	0.27	0.27	0.2	0.63	1.16	0.53	0.74
ENSG00000008083	0.35	4.12	1.81	2.13	0.69	4.19	2.11	0.49	0.55	3.14	0.53	0.28
ENSG00000008128	0.39	0.33	0.8	0.51	3.83	4.59	5.72	15.36	22.97	33.18	25.3	11.58
ENSG00000008130	20.11	16.05	24.03	23.58	39.35	37.57	44.87	30.45	42.69	21.34	14.89	10.92
ENSG00000008196	0.16	0.26	0.03	0.06	0.04	0.12	0.14	0.1	0.05	0.06	0.07	0.21
ENSG00000008197	0.1	0.07	0.04	0.06	0.08	0.08	0.1	0.12	0.08	0.16	0.12	1.57
ENSG00000008256	0.96	0.24	0.22	0.35	0.26	0.53	0.17	0.25	0.24	0.2	0.18	0.74
ENSG00000008282	3.96	0.23	0.6	0.21	0.21	0.23	0.27	0.2	0.2	0.2	0.31	1.75
ENSG00000008283	0.39	3.6	2.22	2.39	2.82	2.17	2.99	0.41	0.37	1.36	1.76	0.32
ENSG00000008294	0.18	0.17	0.22	0.19	0.14	0.2	0.29	0.24	0.26	1.89	0.33	0.26
ENSG00000008311	0.11	0.07	0.1	0.1	0.09	0.08	0.15	0.11	0.11	0.08	0.09	0.27
ENSG00000008324	0.13	0.07	0.12	0.15	0.15	0.11	0.16	0.1	0.13	0.19	0.1	0.29
ENSG00000008382	23.64	14.31	20.63	13.27	22.82	18.57	15.47	18.08	16.93	11.95	19.41	19.73
ENSG00000008405	0.1	0.07	0.12	0.1	0.08	0.1	0.13	0.11	0.08	0.08	0.08	0.07
ENSG00000008441	0.57	0.51	0.81	0.41	0.38	0.22	0.45	0.33	0.26	0.18	0.21	0.18
ENSG00000008513	1.07	9.3	6.76	5.8	7.09	8.73	4.9	7.24	6.68	7.02	10.6	1.56
ENSG00000008710	0.29	0.18	0.21	0.21	0.23	0.45	0.38	0.27	0.19	0.14	0.19	0.09
ENSG00000008838	41.87	16.15	22.42	21.98	19.24	20.03	17.29	27.31	21.58	20.09	15.48	21.51
ENSG00000008853	0.22	3.89	5.31	3.4	5.13	4.3	6.67	12.12	19.81	21.8	7.51	8.66
ENSG00000008869	0.38	0.25	0.21	0.26	0.23	0.18	0.25	0.34	0.29	0.28	0.81	0.33
ENSG00000008952	0.08	0.09	0.19	0.16	0.1	0.09	0.08	0.09	0.12	0.06	0.18	0.27
ENSG00000008988	0.17	0.12	0.1	0.12	0.1	0.11	0.11	0.09	0.12	0.17	0.08	0.23
ENSG00000009307	0.13	0.08	0.1	0.06	0.11	0.21	0.1	0.09	0.12	0.22	0.21	0.27
ENSG00000009335	0.26	0.55	1.03	4.38	3.12	6.34	9.42	11	11.49	12.49	6.76	5.24
ENSG00000009413	1.06	5.88	12.71	13.8	8.84	8.41	9.49	10.48	11.15	7.61	4.69	1.91
ENSG00000009765	0.09	0.3	0.28	0.17	0.08	0.11	0.1	0.15	0.12	0.12	0.11	0.18
ENSG00000009780	0.2	0.25	0.14	0.25	0.2	0.35	0.23	0.2	0.26	0.22	0.13	0.08
ENSG00000009790	0.24	1.14	0.56	0.38	0.72	3.4	0.67	0.58	1.08	0.24	0.51	0.65
ENSG00000009830	0.46	0.29	0.37	0.22	0.27	0.36	0.31	0.36	0.43	0.34	0.29	0.15
ENSG00000009844	0.15	0.18	0.06	0.12	0.12	0.09	0.11	0.1	0.12	0.18	0.28	0.34
ENSG00000009954	22.39	7.63	6.38	9.09	10.74	10.52	8.2	6.48	8.53	5.8	4.98	14.72
ENSG00000010017	3.46	4.74	4.53	4.78	4.97	4	4.3	5.77	6.12	14.78	10.82	12.56
ENSG00000010072	0.68	0.18	0.25	0.2	0.25	0.28	0.32	0.24	0.38	0.29	0.37	1.28
ENSG00000010165	0.18	0.07	0.18	0.18	0.18	0.15	0.12	0.27	0.18	0.3	0.33	0.7
ENSG00000010219	0.31	0.21	0.23	0.18	0.26	0.28	0.18	0.14	0.17	0.16	0.23	2.79
ENSG00000010244	0.14	0.33	0.48	0.47	0.52	0.49	0.49	0.66	0.52	0.46	0.48	0.32
ENSG00000010256	0.18	1.36	4.23	2.17	2.73	3.29	4.72	8.79	12.15	7.91	3.41	0.66
ENSG00000010270	0.17	0.14	0.09	0.13	0.06	0.12	0.27	0.16	0.21	0.17	0.14	0.21
ENSG00000010278	0.22	6.21	7.59	4.45	2.62	3.28	2.86	3.02	1.82	2.46	2.64	1.4
ENSG00000010292	0.23	0.31	0.13	0.25	0.14	0.14	0.18	0.14	0.27	0.17	0.1	0.17
ENSG00000010295	0.3	0.27	0.24	0.32	0.35	0.36	0.4	0.49	0.4	0.48	0.81	0.24
ENSG00000010318	0.61	0.59	0.78	0.61	0.47	0.44	0.33	0.43	0.37	0.42	0.9	0.26
ENSG00000010322	0.26	0.19	0.32	0.45	0.35	0.18	0.54	1.05	0.47	0.32	0.24	0.29
ENSG00000010327	11	20.58	36.56	57.57	56.21	62.07	88.53	57.65	66.21	61.25	45.16	43.26
ENSG00000010361	2.58	0.67	2.75	1.54	1.85	0.4	1.98	0.31	0.76	1.65	3.48	5.24
ENSG00000010404	1.09	11.91	11.94	7.51	6.34	10.41	7.04	8.29	11.14	18.59	22.04	10.43
ENSG00000010539	0.23	0.16	0.16	0.11	0.08	0.13	0.09	0.11	0.09	0.09	0.19	0.2
ENSG00000010610	6.81	0.64	0.24	0.21	0.23	0.18	0.22	0.19	0.19	0.31	0.41	0.88
ENSG00000010626	7.63	6.43	6.8	10.43	5.47	5.96	5.68	4.29	3.91	6.76	6.07	3.23
ENSG00000010671	3.06	7.83	12.05	9.39	5.06	6.65	6.91	5.61	6.82	3.14	2.18	1.48
ENSG00000010803	7.24	1.42	2.81	3.23	4	4.48	3.03	2.6	2.83	2.18	0.5	1.05
ENSG00000010810	0.08	0.07	0.07	0.06	0.11	0.08	0.1	0.09	0.11	0.08	0.13	0.12
ENSG00000010818	44.25	41.7	49.06	49.19	45.47	48.03	46.23	49.02	58.4	73.64	72.47	71.71
ENSG00000011007	0.15	0.17	0.1	0.22	0.13	0.09	0.15	0.16	0.17	0.17	0.09	0.08
ENSG00000011009	0.18	0.41	0.16	0.28	0.32	0.21	0.34	0.24	0.28	0.64	1.33	1.42
ENSG00000011021	7.88	7.48	13.91	10.73	21.47	15.66	8.77	8.95	10.14	9.87	7.11	8.42
ENSG00000011028	3.22	0.27	0.38	0.95	4.15	2.85	2.55	1.89	1.41	2.84	0.51	1.08
ENSG00000011052	0.12	0.19	0.19	0.24	0.13	0.23	0.11	0.25	0.18	0.21	0.26	0.15
ENSG00000011105	0.54	0.34	0.27	0.31	0.31	0.45	0.37	0.11	0.24	0.08	0.07	0.26
ENSG00000011114	0.1	0.19	0.07	0.16	0.1	0.13	0.1	0.17	0.19	0.22	0.21	0.15
ENSG00000011132	0.37	2.73	2.78	2.46	2.07	3.23	3.1	3.1	4.13	4.84	4.08	2.54
ENSG00000011143	0.19	0.17	0.11	0.09	0.13	0.23	0.27	0.16	1.42	0.43	0.17	0.27
ENSG00000011198	0.15	0.16	0.18	0.15	0.09	0.12	0.14	0.11	0.13	0.2	0.11	0.33
ENSG00000011243	8.29	3.03	5.42	3.71	4.17	2.48	3.59	2.65	1.99	0.75	0.93	0.31
ENSG00000011258	0.35	0.43	0.32	1.17	1.06	0.43	1.21	2.65	4.19	15.8	15.46	19.93
ENSG00000011260	4.66	4.88	3.83	3.07	2.96	2.8	2.77	2.1	1.52	2.47	3.37	4.15
ENSG00000011275	0.11	0.09	0.16	0.18	0.14	0.13	0.1	0.18	0.19	0.11	0.12	0.09
ENSG00000011295	0.4	0.9	1.15	0.53	0.55	1	0.69	0.82	0.69	0.7	0.41	1.98
ENSG00000011304	0.84	0.26	0.45	1.76	0.37	0.42	1.46	2.14	1.28	2.4	0.42	0.18
ENSG00000011376	0.19	0.03	0.1	0.08	0.09	0.17	0.1	0.12	0.09	0.15	0.27	0.2
ENSG00000011405	0.2	3.91	2.94	4.92	4.15	4.54	6.31	7.59	9.35	9.83	4.36	6.62
ENSG00000011422	1.64	6.27	16.77	13.79	16.69	20.47	27.83	24.39	29.03	33.62	42.59	51.05
ENSG00000011426	0.36	0.26	0.15	0.15	0.16	0.24	0.33	0.1	0.18	0.14	0.35	1.74
ENSG00000011451	2.75	0.85	0.88	0.68	0.56	0.35	0.4	0.31	0.42	0.27	0.24	0.15
ENSG00000011454	0.29	0.63	0.21	0.23	0.24	0.15	0.23	0.14	0.22	0.37	0.47	0.2
ENSG00000011478	0.23	0.39	0.29	0.83	0.4	0.47	0.4	0.43	0.35	0.35	0.33	0.16
ENSG00000011485	2.1	0.75	1.03	0.68	0.65	0.44	0.26	0.14	0.17	0.13	0.12	0.21
ENSG00000011523	1.44	10.88	8.77	8.78	15.2	16.17	11.61	15.27	12.08	9.85	12.92	13.95
ENSG00000011566	0.27	0.13	0.21	0.16	0.13	0.16	0.19	0.11	0.23	0.33	0.17	0.18
ENSG00000011600	5.41	4.18	10.05	8.2	7.86	5.9	7.04	8.07	7.21	16.64	31.09	22.21
ENSG00000011638	0.19	0.28	0.15	0.16	0.16	0.2	0.2	0.17	0.12	0.1	0.19	0.12
ENSG00000012048	12.87	7.84	17	27.97	40.37	48.35	47.58	32.71	33.7	40.21	25.9	17.78
ENSG00000012061	0.16	0.14	0.33	0.15	0.15	0.08	0.13	0.15	0.18	0.12	0.15	0.19
ENSG00000012124	22.91	33.14	13.62	28.82	20.61	13.73	18.6	9.3	7.93	10.53	5.12	17.65
ENSG00000012174	0.14	0.08	0.2	0.1	0.1	0.2	0.11	0.1	0.08	0.14	0.45	1.24
ENSG00000012211	13.62	14.13	22.82	13.93	18.62	18.39	23.1	18.32	15.45	7.08	6.57	16.09
ENSG00000012232	0.22	0.14	0.17	0.14	0.14	0.08	0.09	0.08	0.15	0.19	0.24	0.17
ENSG00000012660	0.16	0.09	0.15	0.11	0.13	0.09	0.12	0.18	0.11	0.11	0.1	0.16
ENSG00000012779	13.19	27.2	16.55	16.37	11.83	8.38	7.15	6.83	3.29	5.26	6.04	8.11
