H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.05	0.03	0.03	0.04	0.02	0.04	0.07	0.02	0.02	0.04	0.03	0.03
ENSG00000000419	3.83	3.53	4.11	3.33	3.78	2.82	3.85	3.99	3	3.1	4.99	5.26
ENSG00000000457	0.12	0.14	0.08	0.05	0.15	0.11	0.08	0.18	1.36	4.24	4.49	2.66
ENSG00000000460	0.64	0.73	0.19	0.33	0.21	0.3	0.43	0.21	0.22	0.18	0.27	0.4
ENSG00000000938	4.13	4.73	3.98	4.94	4.74	4.37	5.38	7.98	8.18	14.42	10.81	5.79
ENSG00000000971	0.02	0.07	0.01	0.02	0.03	0.03	0.06	0.03	0.02	0.02	0.04	0.04
ENSG00000001036	0.45	0.39	0.36	0.28	2.33	0.26	0.17	2.97	4.89	1.44	2.85	2.18
ENSG00000001084	0.02	0.09	0.02	0.02	0.03	0.03	0.02	0.05	0.01	0.04	0.09	0.19
ENSG00000001167	9.97	7.54	9.19	8.1	6.63	10.71	10.19	9.51	10.08	4.24	4.92	9.15
ENSG00000001461	5.05	4.21	3.29	4.78	3.63	4.15	3.66	2.92	4.69	4.78	0.63	2.76
ENSG00000001497	0.2	0.13	0.1	0.1	0.09	0.08	0.06	0.11	0.09	0.08	0.03	0.09
ENSG00000001617	0.5	0.85	0.29	0.54	0.28	0.25	0.19	0.27	0.3	0.15	0.11	0.06
ENSG00000001629	7.77	4.66	5.41	5.33	6.06	9.37	7.19	2.01	5.76	4.6	6.92	5.71
ENSG00000001630	0.02	0.05	0.03	0.06	0.03	0.04	0.07	0.04	0.04	0.03	0.05	0.04
ENSG00000001631	11.4	8.86	8.17	7.82	7.37	4.56	6.44	9.39	9.42	4.99	10.64	7.12
ENSG00000002016	6.56	9.6	8.13	7.03	7.25	6.51	6.8	5.33	4.47	4.3	4.11	4.63
ENSG00000002330	4.29	5.13	3.74	5.99	5.31	2.55	5.54	3.45	4.54	3.35	4.13	2.77
ENSG00000002549	0.12	0.13	0.09	0.16	0.15	0.16	0.14	0.12	0.17	0.17	0.26	0.24
ENSG00000002586	1.02	1.43	0.68	1.04	0.64	0.49	0.46	0.29	0.18	0.07	0.08	0.07
ENSG00000002745	4.68	5.49	4.21	6.24	6.02	5.92	5.07	3.43	5.42	2.86	0.65	0.7
ENSG00000002822	13.61	7.8	11.92	9.77	13.99	16.02	12.7	14.4	14.47	21.87	36.79	41.22
ENSG00000002834	4.55	4.32	4.7	3.96	4.38	4.95	9.99	3.03	5.37	7.63	3.38	6.72
ENSG00000002919	8.67	6.94	6.04	5.82	7.36	6.97	7.65	7.51	4.95	5.08	8.16	8.08
ENSG00000003056	0.17	0.23	2.34	0.08	2.11	0.14	0.2	1.11	0.2	0.47	3.38	4.03
ENSG00000003147	0.03	0.08	0.03	0.02	0.02	0.03	0.05	0.02	0.02	0.02	0.08	0.1
ENSG00000003393	0.11	0.22	0.21	0.13	0.15	0.13	0.09	0.14	0.12	0.1	0.33	0.6
ENSG00000003400	0.1	0.09	0.08	0.12	0.07	0.11	0.12	0.11	0.32	1.72	3.88	5.53
ENSG00000003402	0.31	0.7	0.52	0.4	0.62	0.27	0.33	0.31	0.63	1.61	3.16	3.56
