H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	0.41	0.88	0.11	0.49	0.36	0.41	0.37	0.32	0.26	0.6	0.13	0.31
ENSG00000000457chr1:169881790-169883459	0.19	0.2	0.31	0.19	0.2	0.46	0.12	0.27	0.18	0.17	0.12	0.13
ENSG00000000460chr1:169604769-169605318	0.79	0.39	0.84	0.85	1.09	3.6	5.46	8.79	5.27	1.29	0.67	1.17
ENSG00000000938chr1:27624596-27627068	6.86	4.25	3.08	3.65	3.51	4.3	4.35	7.71	10.91	6.55	4.4	4.26
ENSG00000000971chr1:196659417-196659916	0.25	0.35	0.48	0.4	0.11	0.54	0.6	0.13	0.38	0.24	1.44	0.99
ENSG00000001036chr6:143527992-143528853	0.59	0.48	0.57	2.2	0.42	0.55	2.19	0.56	0.97	0.78	0.5	0.62
ENSG00000001084chr6:53592840-53593389	0.21	0.27	0.1	0.17	0.26	0.97	1.43	1.19	4.87	5.23	0.92	1.28
ENSG00000001461chr1:24406773-24407272	0.11	0.09	0.04	0.09	0.04	0.06	0.1	0.08	0.1	0.22	0.16	0.17
ENSG00000001497chrX:65526173-65526672	0.29	0.35	0.16	0.8	0.28	0.26	0.24	0.27	0.26	0.27	0.57	0.47
ENSG00000001617chr3:50136755-50141170	5.27	3.33	3.66	3.34	5.24	6.04	4.94	4.25	4.59	2.52	2.58	3
ENSG00000001630chr7:92178781-92180069	0.82	0.49	0.47	2.59	3.32	0.89	2.83	0.77	0.86	4.92	6.34	2.86
ENSG00000002016chr12:569661-570740	12.59	11.38	6.74	9.81	6.05	7.25	6.13	5.84	7.04	7.13	5.5	9.19
ENSG00000002330chr11:64268719-64272080	101.9	85.88	95.77	76.16	81.74	81.78	80.23	80.72	72.05	60.73	87.58	76.66
ENSG00000002549chr4:17592558-17593057	1.07	0.71	1.11	1.31	0.49	0.58	0.62	1.06	1.73	0.84	3.92	1.68
ENSG00000002586chrX:2701510-2702049	4.8	4.9	4.06	5.08	5.48	2.51	2.49	3.33	1.64	1.31	1.58	1.71
ENSG00000002745chr7:121313988-121314705	45.49	23.66	27.68	32.91	32.37	50.65	32.14	19.04	15.3	10.04	2.65	0.66
ENSG00000002822chr7:2219612-2221691	1.29	0.51	0.69	0.97	0.65	0.27	0.45	0.55	0.78	0.43	0.55	0.41
ENSG00000002834chr17:38898084-38899958	47.76	51.9	70.17	74.53	71.29	64.6	70.72	44.46	29.55	19.55	12.38	11.17
ENSG00000002919chr17:48131167-48131666	0.83	0.11	0.16	0.37	0.21	0.22	0.25	0.04	0.23	0.29	0.24	0.9
ENSG00000003147chr7:8253884-8255255	0.23	0.3	0.17	0.31	0.13	0.37	0.26	0.26	0.27	0.32	0.23	0.21
ENSG00000003400chr2:201174869-201175368	2.33	0.66	1.5	0.31	0.89	0.29	0.6	0.4	0.68	0.5	0.5	0.57
ENSG00000003402chr2:201123555-201126280	4.57	3.69	3.61	4.15	5.08	5.79	4.8	5.84	5.07	8.24	9.63	13.82
ENSG00000003509chr2:37197949-37199102	17.53	14	9.99	9.55	9.99	11.21	8.87	9.08	9.23	5.09	8.16	11.8
ENSG00000003756chr3:50120690-50121989	1.2	0.61	0.81	0.9	0.9	0.47	0.49	0.67	0.37	0.29	0.57	0.48
ENSG00000004139chr17:28380141-28380649	1.3	0.39	0.61	1.06	0.61	0.15	0.29	0.78	0.33	0.11	0.68	0.24
ENSG00000004399chr3:129614367-129615325	2.08	0.64	0.6	0.4	0.8	0.9	1.11	0.58	0.49	0.67	2.02	4.32
ENSG00000004455chr1:33055119-33056245	0.77	1.8	1.41	2.77	1.64	1.06	0.39	0.68	0.58	0.25	0.19	0.74
ENSG00000004468chr4:15769084-15769583	0.66	0.66	0.7	0.52	0.61	1.06	0.14	0.37	0.2	0.55	0.19	0.32
ENSG00000004478chr12:2783292-2784862	0.29	0.89	0.7	0.33	0.88	2.21	0.79	0.61	0.64	0.61	0.84	0.13
ENSG00000004487chr1:23010672-23011613	0.29	0.45	0.28	0.59	0.41	0.33	0.16	0.5	0.68	0.57	0.17	0.38
ENSG00000004534chr3:49947210-49947709	0.17	0.28	0.42	0.21	0.45	0.21	0.36	0.27	0.48	0.34	0.97	0.31
ENSG00000004766chr7:93224459-93225262	0.15	0.15	0.21	0.18	0.08	0.09	0.3	0.27	0.08	0.2	0.29	0.77
ENSG00000004777chr19:35766226-35767998	7.38	9.58	13.01	8.26	8.08	7.24	9.03	8.49	5.29	0.77	4.05	3.71
ENSG00000004779chr16:23570827-23571788	0.6	0.49	0.44	0.69	0.53	1.05	1.07	1.44	1.11	1.11	0.25	0.58
ENSG00000004809chr6:110484206-110484805	0.56	0.43	0.6	0.71	0.52	0.46	0.86	0.51	0.77	0.6	0.36	0.44
