H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	0.61	0.29	0.36	0.5	0.06	0.3	0.35	0.12	0.19	0.25	0.15	0.9
ENSG00000000457chr1:169881790-169883459	0.12	0.09	0.09	0.11	0.14	0.1	0.11	0.1	0.1	0.07	0.12	0.09
ENSG00000000460chr1:169604769-169605318	0.15	0.1	0.39	0.59	0.2	0.51	0.37	0.66	0.31	0.91	0.29	0.69
ENSG00000000938chr1:27624596-27627068	0.5	0.37	0.43	1.06	0.44	0.86	0.67	3.25	5.61	5.89	1.39	0.44
ENSG00000000971chr1:196659417-196659916	0.1	0.06	0.15	0.01	0.2	0.11	0.09	0.07	0.19	0.11	0.35	0.35
ENSG00000001036chr6:143527992-143528853	0.2	0.54	0.41	0.1	0.16	0.15	0.06	0.2	0.33	0.26	0.29	0.2
ENSG00000001084chr6:53592840-53593389	0.12	0.14	0.03	0.18	0.1	0.08	0.24	0.57	1.04	2.71	2.66	1.85
ENSG00000001461chr1:24406773-24407272	0.11	0.2	0.24	0.05	0.83	0.1	0.04	0.16	0.13	0.04	0.38	0.24
ENSG00000001497chrX:65526173-65526672	0.32	0.26	0.23	0.55	0.07	0.09	0.16	0.27	0.16	0.08	0.12	0.15
ENSG00000001617chr3:50136755-50141170	2.27	1	3.36	2.7	3.27	4.33	6.16	5.33	4.12	2.85	0.24	0.16
ENSG00000001630chr7:92178781-92180069	5.37	6.37	5.52	5.36	5.18	4.23	5.97	5.71	9.89	6.58	5.9	7.84
ENSG00000002016chr12:569661-570740	21.1	20.71	20.77	28.37	12.31	20.94	21.14	14.68	20.15	15.14	14.44	15.29
ENSG00000002330chr11:64268719-64272080	94.48	89.64	92.87	97.78	84.14	95.18	90.61	111.99	105.8	78.6	129.05	106.49
ENSG00000002549chr4:17592558-17593057	0.66	1.81	0.74	0.58	0.31	0.08	0.83	0.22	0.24	0.33	1.56	0.34
ENSG00000002586chrX:2701510-2702049	3.27	2.37	1.86	3.13	3.14	2.54	2.89	1.84	0.98	1.01	0.6	0.53
ENSG00000002745chr7:121313988-121314705	34.06	50	49.07	42.87	51.23	38.77	29.45	18.2	22.27	10.71	4.82	4.16
ENSG00000002822chr7:2219612-2221691	0.18	0.33	0.2	0.09	0.07	0.1	0.17	0.2	0.11	0.1	0.14	0.12
ENSG00000002834chr17:38898084-38899958	6.99	6.07	6.72	8.25	8.36	4.81	5.79	6.57	6.71	5.66	3.3	2.02
ENSG00000002919chr17:48131167-48131666	0.03	0.04	0.14	0.08	0.09	0.13	0.04	0.03	0.1	0.04	0.09	0.07
ENSG00000003147chr7:8253884-8255255	0.05	0.17	0.15	0.24	0.19	0.13	0.18	0.24	0.13	0.19	0.16	0.39
ENSG00000003400chr2:201174869-201175368	0.19	0.4	0.24	0.24	0.08	0.59	0.14	0.08	0.2	0.05	0.11	0.1
ENSG00000003402chr2:201123555-201126280	0.48	0.92	0.77	0.46	0.57	0.72	0.68	0.73	2.72	5.72	5.57	6.58
ENSG00000003509chr2:37197949-37199102	5.77	7.09	5.4	4.93	4.13	7.93	6.1	4.76	3.55	5.86	6.99	7.28
ENSG00000003756chr3:50120690-50121989	0.24	0.37	0.23	0.27	0.22	0.15	0.13	0.13	0.24	0.14	0.17	0.1
ENSG00000004139chr17:28380141-28380649	0.58	0.19	0.15	0.35	0.94	0.05	0.24	0.65	0.08	0.2	0.29	0.17
ENSG00000004399chr3:129614367-129615325	0.61	0.12	0.62	0.46	0.14	0.25	0.45	0.27	0.44	0.63	0.85	1.38
ENSG00000004455chr1:33055119-33056245	0.17	1.19	0.26	0.55	0.15	0.11	0.23	0.41	0.28	0.26	0.12	0.19
ENSG00000004468chr4:15769084-15769583	0.7	0.76	0.72	0.95	1.04	0.19	0.18	0.26	0.1	0.1	0.23	0.06
ENSG00000004478chr12:2783292-2784862	0.82	0.29	0.56	0.6	0.67	0.47	0.3	0.79	2.09	0.71	4.49	0.62
ENSG00000004487chr1:23010672-23011613	0.34	0.28	0.16	0.27	0.05	0.13	0.1	0.07	0.26	0.18	0.12	0.14
ENSG00000004534chr3:49947210-49947709	0.32	0.27	0.2	0.22	0.13	0.3	0.13	0.38	0.13	0.24	0.21	0.57
ENSG00000004766chr7:93224459-93225262	0.12	0.09	0.07	0.08	0.1	0.04	0.05	0.05	0.06	0.03	0.12	0.74
ENSG00000004777chr19:35766226-35767998	3.37	7	3.7	5.49	2.85	4.7	3.68	2.68	1.69	0.38	0.34	0.56
ENSG00000004779chr16:23570827-23571788	0.24	0.2	0.22	0.58	0.37	0.15	0.13	0.54	0.36	0.57	0.59	0.72
ENSG00000004809chr6:110484206-110484805	0.09	0.22	0.32	0.33	0.27	0.64	0.26	0.5	0.38	0.24	0.62	0.96
ENSG00000004864chr7:96314055-96314828	0.2	0.31	0.29	0.04	0.07	0.41	0.2	0.18	0.17	0.39	0.43	0.59
ENSG00000004866chr7:116970138-116970637	0.23	0.09	0.03	0.31	0.2	0.3	0.09	0.13	0.24	0.15	0.16	0.25
ENSG00000004897chr17:47204570-47206244	8.11	10.53	7.43	6.98	4.38	5.13	3.12	1.89	1.44	1.6	3.01	1.16
ENSG00000004961chrX:11138665-11139659	0.11	0.07	0.09	0.23	0.15	0.05	0.1	0.09	0.11	0.15	0.17	0.16
ENSG00000004975chr17:7213829-7215354	18.39	23.21	20.47	24.74	17.13	21.63	21.15	22.49	25.01	18.42	19.05	22.51
ENSG00000005007chr19:18846705-18847629	0.35	0.39	0.56	0.4	0.45	0.36	0.57	0.22	0.2	0.7	0.54	0.58
ENSG00000005022chrX:119481940-119483357	5.89	5.73	5.51	4.55	1.89	3.97	4.66	5.74	4.82	7.33	7.96	9.07
ENSG00000005059chr4:109547806-109549072	0.33	1.55	0.38	0.4	0.51	0.35	1.34	0.35	0.8	1	0.73	1.03
ENSG00000005073chr7:27192237-27194080	0.81	0.61	0.73	1.18	0.69	0.66	0.83	1.29	2.66	3.87	6.77	5.62
ENSG00000005156chr17:34998136-34998635	0.63	0.13	0.2	0.17	0.16	0.22	0.21	0.2	0.22	0.06	0.05	0.17
ENSG00000005175chr12:47697581-47698484	0.16	0.46	0.08	0.13	0.14	0.08	0.11	0.06	0.09	0.16	0.11	0.43
ENSG00000005194chr16:57416414-57417461	5.31	5.19	6.44	4.1	1.81	5.05	6.71	4.25	7.26	6.5	4.39	9.68
ENSG00000005206chr19:2338190-2341798	3.24	0.51	0.53	0.41	0.38	0.38	0.25	0.35	0.33	0.18	0.17	0.2
ENSG00000005249chr7:107035300-107035865	0.17	0.53	0.12	0.22	0.24	0.28	0.06	0.29	0.22	0.21	0.27	0.46
ENSG00000005302chrX:11749980-11750493	0.11	0.14	0.12	0.07	0.12	0.11	0.13	0.32	0.07	0.09	0.2	0.4
ENSG00000005339chr16:3868412-3869933	0.26	0.29	0.41	0.39	0.64	0.31	0.18	0.32	0.17	0.23	0.3	0.14
ENSG00000005379chr17:58335793-58339864	49.98	51.42	42.02	35.74	40.04	40.8	45.31	49.27	49.25	46.52	34.45	33.66
ENSG00000005381chr17:58272928-58273849	0.13	0.07	0.15	0.15	0.17	0.08	0.08	0.12	0.18	0.08	0.08	0.14
ENSG00000005448chr2:74441090-74442711	1.45	0.57	0.72	0.65	0.72	0.41	1.64	0.44	0.41	1.24	0.33	2.6
ENSG00000005471chr7:87491676-87492175	0.07	0.17	0.06	0.3	0.21	0.59	0.13	0.18	0.3	0.26	0.09	0.2
ENSG00000005483chr7:104943545-104945722	29.46	33.32	36.03	32.94	51.65	54.41	54.25	46.52	31.88	35.69	34.94	28.05
ENSG00000005486chr7:75847605-75848230	0.13	0.11	0.28	0.08	0.03	0.2	0.15	0.21	0.16	0.57	0.25	0.43
ENSG00000005801chr11:3421687-3423843	23.55	30.03	32.94	31.03	30.08	31.83	32.21	58	24.57	54.37	25.78	23.67
ENSG00000005810chr13:77338313-77340265	0.71	1.13	0.76	0.94	0.61	0.78	4.23	2.03	2.17	1.76	0.42	0.61
ENSG00000005812chr13:77034814-77035539	0.19	0.06	0.26	0.16	0.27	0.18	0.19	0.1	0.12	0.11	0.16	0.17
