H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	0.04	0.04	0.04	0.03	0	0.03	0.01	0.01	0.01	0.01	0.03	0.01
ENSG00000000457chr1:169881790-169883459	3	3.11	2.71	2.05	2.92	2.43	3.41	3.23	5.04	5.09	4.87	5.97
ENSG00000000460chr1:169604769-169605318	0.06	0.05	0.15	0.07	0.04	0.07	0.05	0.01	0.05	0	0.03	0
ENSG00000000938chr1:27624596-27627068	0.08	0.06	0.09	0.06	0.04	0.08	0.06	0.19	0.55	3.07	3.14	5.75
ENSG00000000971chr1:196659417-196659916	0.08	0.1	0.04	0.05	0.09	0.05	0.09	0.1	0.07	0.1	0.6	0.16
ENSG00000001036chr6:143527992-143528853	0.06	0.08	0.07	0.07	0.05	0.19	0.1	0.03	0.09	0.1	0.03	0.05
ENSG00000001084chr6:53592840-53593389	0.06	0.02	0.01	0.02	0.08	0.02	0.02	0.01	0.01	0.01	0.02	0.03
ENSG00000001461chr1:24406773-24407272	0.1	0.16	0.27	0.15	0.14	0.06	0.23	0.16	0.25	0.11	0.13	0.13
ENSG00000001497chrX:65526173-65526672	3.64	2.81	3.7	5.05	3.6	5.14	3.4	4.22	4.11	2.99	3.39	3.92
ENSG00000001617chr3:50136755-50141170	0.08	0.07	0.06	0.06	0.07	0.06	0.07	0.07	0.07	0.05	0.09	0.08
ENSG00000001630chr7:92178781-92180069	0.19	0.08	0.13	0.26	0.23	0.18	0.11	0.3	0.14	0.16	0.1	0.24
ENSG00000002016chr12:569661-570740	0.02	0.03	0.06	0.06	0.08	0.04	0.04	0.06	0.06	0.07	0.06	0.02
ENSG00000002330chr11:64268719-64272080	0.06	0.04	0.12	0.06	0.06	0.09	0.1	0.13	0.14	0.15	0.16	0.09
ENSG00000002549chr4:17592558-17593057	4.27	2.23	3.42	3.86	4.72	3.81	4.85	6.1	6.67	4.74	5.79	5.68
ENSG00000002586chrX:2701510-2702049	0.59	0.14	0.27	0.4	0.21	0.3	0.62	0.47	0.44	1.05	0.54	2.33
ENSG00000002745chr7:121313988-121314705	0.01	0.02	0.02	0.02	0.04	0.02	0.04	0.04	0.01	0.03	0.07	0
ENSG00000002822chr7:2219612-2221691	5.98	5.93	5.31	5.31	4.13	4.56	4.68	5.75	6.37	6.61	6.17	7.04
ENSG00000002834chr17:38898084-38899958	0.63	0.37	0.47	0.59	0.7	1.7	2.08	2.92	2.85	3.12	3.14	3.89
ENSG00000002919chr17:48131167-48131666	0	0.01	0.07	0.04	0.03	0.01	0.02	0.01	0.03	0.01	0.02	0.06
ENSG00000003147chr7:8253884-8255255	0.29	0.12	0.12	0.14	0.08	0.13	0.18	0.11	0.2	0.35	0.31	0.35
ENSG00000003400chr2:201174869-201175368	0.17	0.27	0.18	0.12	0.26	0.16	0.34	0.13	0.11	0.08	0.22	0.3
ENSG00000003402chr2:201123555-201126280	1.29	2.5	0.59	0.41	0.58	2.55	0.37	2.25	0.58	3.05	3.86	4.86
ENSG00000003509chr2:37197949-37199102	0.55	0.93	0.79	2.17	2.19	1.15	3.28	0.64	3.39	1.36	0.74	0.29
ENSG00000003756chr3:50120690-50121989	5.25	5.86	5.01	4.77	4.82	4.15	2.89	6.96	5.31	2.83	5.46	3.74
ENSG00000004139chr17:28380141-28380649	0.78	1.45	1.14	1.9	1.33	0.71	1.53	1.48	1.73	0.53	0.85	1.29
ENSG00000004399chr3:129614367-129615325	0.15	0.08	0.17	0.07	0.03	0.12	0.04	0.05	0.32	0.04	0.11	0.12
ENSG00000004455chr1:33055119-33056245	0.05	0.04	0.11	0.11	0.04	0.04	0.02	0.1	0.04	0.1	0.05	0.08
ENSG00000004468chr4:15769084-15769583	1.33	3.63	1.48	1.16	1.39	1.34	1.07	1.29	0.33	0.4	0.36	1.04
ENSG00000004478chr12:2783292-2784862	0.08	0.02	0.04	0.02	0.03	0.04	0.06	0.02	0.03	0.05	0.03	0.02
ENSG00000004487chr1:23010672-23011613	0.04	0.06	0.08	0.11	0.04	0.1	0.01	0.07	0.03	0.04	0.01	0.02
ENSG00000004534chr3:49947210-49947709	0.71	1.85	2.95	2.16	1.12	0.69	1.18	1.52	1.13	1.72	1.52	1.23
ENSG00000004766chr7:93224459-93225262	0.02	0.05	0.03	0.02	0.02	0.06	0.03	0.02	0.02	0.01	0.05	0.07
ENSG00000004777chr19:35766226-35767998	1.36	1.54	0.28	1.95	1.92	1.06	0.65	1.38	2.11	0.82	3	3.31
ENSG00000004779chr16:23570827-23571788	6.41	6.62	8.27	8.37	6.23	5.64	4.05	2.8	3.09	2.28	0.91	2.75
ENSG00000004809chr6:110484206-110484805	0.26	0.39	0.15	0.28	0.21	0.27	0.3	0.61	0.27	0.13	0.07	0.18
ENSG00000004864chr7:96314055-96314828	0.72	1.47	0.98	0.4	0.61	0.74	0.73	1.5	1.15	2.81	1.75	1.61
ENSG00000004866chr7:116970138-116970637	0.24	0.31	0.07	0.12	0.15	0.19	0.04	0.15	0.17	0.15	0.07	0.02
